"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LIMA (000)",6850191,142634,78193,1452486,2728598,531915,608012,487050,821303
"Hombres (001)",3327215,33810,40369,652872,1393383,266155,264144,263776,412706
"Mujeres (002)",3522976,108824,37824,799614,1335215,265760,343868,223274,408597
"PEA (003)",3408878,36979,2228,311664,1389069,341797,429950,279485,617706
"Hombres (004)",2018280,11656,1235,163628,899513,203256,222977,173806,342209
"Mujeres (005)",1390598,25323,993,148036,489556,138541,206973,105679,275497
"Ocupada (006)",3286770,35594,2087,300321,1331681,328943,416158,268907,603079
"Hombres (007)",1947635,11030,1151,156780,863603,196365,216569,167527,334610
"Mujeres (008)",1339135,24564,936,143541,468078,132578,199589,101380,268469
"Desocupada (009)",122108,1385,141,11343,57388,12854,13792,10578,14627
"Hombres (010)",70645,626,84,6848,35910,6891,6408,6279,7599
"Mujeres (011)",51463,759,57,4495,21478,5963,7384,4299,7028
"No PEA (012)",3441313,105655,75965,1140822,1339529,190118,178062,207565,203597
"Hombres (013)",1308935,22154,39134,489244,493870,62899,41167,89970,70497
"Mujeres (014)",2132378,83501,36831,651578,845659,127219,136895,117595,133100
,,,,,,,,,
"URBANA (018)",6841699,142120,78063,1449450,2724767,531567,607773,486857,821102
"Hombres (019)",3322714,33669,40306,651311,1391173,265968,264039,263649,412599
"Mujeres (020)",3518985,108451,37757,798139,1333594,265599,343734,223208,408503
"PEA (021)",3404560,36754,2220,310455,1386836,341589,429791,279357,617558
"Hombres (022)",2015203,11569,1231,162782,897797,203108,222880,173711,342125
"Mujeres (023)",1389357,25185,989,147673,489039,138481,206911,105646,275433
"Ocupada (024)",3282559,35382,2080,299138,1329496,328741,416002,268784,602936
"Hombres (025)",1944637,10952,1148,155952,861926,196221,216474,167435,334529
"Mujeres (026)",1337922,24430,932,143186,467570,132520,199528,101349,268407
"Desocupada (027)",122001,1372,140,11317,57340,12848,13789,10573,14622
"Hombres (028)",70566,617,83,6830,35871,6887,6406,6276,7596
"Mujeres (029)",51435,755,57,4487,21469,5961,7383,4297,7026
"No PEA (030)",3437139,105366,75843,1138995,1337931,189978,177982,207500,203544
"Hombres (031)",1307511,22100,39075,488529,493376,62860,41159,89938,70474
"Mujeres (032)",2129628,83266,36768,650466,844555,127118,136823,117562,133070
,,,,,,,,,
"RURAL (036)",8492,514,130,3036,3831,348,239,193,201
"Hombres (037)",4501,141,63,1561,2210,187,105,127,107
"Mujeres (038)",3991,373,67,1475,1621,161,134,66,94
"PEA (039)",4318,225,8,1209,2233,208,159,128,148
"Hombres (040)",3077,87,4,846,1716,148,97,95,84
"Mujeres (041)",1241,138,4,363,517,60,62,33,64
"Ocupada (042)",4211,212,7,1183,2185,202,156,123,143
"Hombres (043)",2998,78,3,828,1677,144,95,92,81
"Mujeres (044)",1213,134,4,355,508,58,61,31,62
"Desocupada (045)",107,13,1,26,48,6,3,5,5
"Hombres (046)",79,9,1,18,39,4,2,3,3
"Mujeres (047)",28,4,,8,9,2,1,2,2
"No PEA (048)",4174,289,122,1827,1598,140,80,65,53
"Hombres (049)",1424,54,59,715,494,39,8,32,23
"Mujeres (050)",2750,235,63,1112,1104,101,72,33,30
