"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PALLASCA (000)",7928,5809,726,674,719
"Empleado (001)",1322,334,254,323,411
"Obrero (002)",2018,1023,352,337,306
"Trabajador independiente (003)",3333,3242,91,,
"Empleador o patrono (004)",62,50,3,8,1
"Trabajador familiar no remunerado (005)",1100,1067,26,6,1
"Trabajador del hogar (006)",93,93,,,
"De 06 a 14 años (008)",104,97,5,1,1
"Empleado (009)",3,3,,,
"Obrero (010)",12,7,3,1,1
"Trabajador independiente (011)",20,20,,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",61,59,2,,
"Trabajador del hogar (014)",7,7,,,
"De 15 a 29 años (016)",2488,1722,281,221,264
"Empleado (017)",344,103,55,61,125
"Obrero (018)",865,391,179,157,138
"Trabajador independiente (019)",750,713,37,,
"Empleador o patrono (020)",18,14,1,2,1
"Trabajador familiar no remunerado (021)",461,451,9,1,
"Trabajador del hogar (022)",50,50,,,
"De 30 a 44 años (024)",2688,1803,299,299,287
"Empleado (025)",655,162,139,180,174
"Obrero (026)",677,340,114,110,113
"Trabajador independiente (027)",1043,1006,37,,
"Empleador o patrono (028)",22,15,2,5,
"Trabajador familiar no remunerado (029)",270,259,7,4,
"Trabajador del hogar (030)",21,21,,,
"De 45 a 64 años (032)",1951,1532,126,147,146
"Empleado (033)",291,58,55,80,98
"Obrero (034)",377,214,50,65,48
"Trabajador independiente (035)",1040,1024,16,,
"Empleador o patrono (036)",16,15,,1,
"Trabajador familiar no remunerado (037)",216,210,5,1,
"Trabajador del hogar (038)",11,11,,,
"De 65 y más años (040)",697,655,15,6,21
"Empleado (041)",29,8,5,2,14
"Obrero (042)",87,71,6,4,6
"Trabajador independiente (043)",480,479,1,,
"Empleador o patrono (044)",5,5,,,
"Trabajador familiar no remunerado (045)",92,88,3,,1
"Trabajador del hogar (046)",4,4,,,
,,,,,
"URBANA (048)",4358,2882,458,481,537
"Empleado (049)",1008,219,165,273,351
"Obrero (050)",1248,639,226,198,185
"Trabajador independiente (051)",1565,1520,45,,
"Empleador o patrono (052)",40,33,2,5,
"Trabajador familiar no remunerado (053)",426,400,20,5,1
"Trabajador del hogar (054)",71,71,,,
"De 06 a 14 años (056)",46,41,4,,1
