"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CASTILLA (000)",38425,9242,7158,1540,20942
"Menos de 1 año (001)",664,388,110,10,160
"De 1 a 14 años (002)",10847,5529,1862,288,3235
"De 15 a 29 años (003)",9150,1518,1392,341,6010
"De 30 a 44 años (004)",8370,770,2203,459,5125
"De 45 a 64 años (005)",6262,653,1182,321,4192
"De 65 y mas años (006)",3132,384,409,121,2220
"Hombres (008)",20269,4357,4111,1016,11120
"Menos de 1 año (009)",332,194,52,5,81
"De 1 a 14 años (010)",5509,2795,913,144,1691
"De 15 a 29 años (011)",4851,611,853,236,3231
"De 30 a 44 años (012)",4537,292,1362,331,2701
"De 45 a 64 años (013)",3460,294,707,223,2307
"De 65 y mas años (014)",1580,171,224,77,1109
"Mujeres (016)",18156,4885,3047,524,9822
"Menos de 1 año (017)",332,194,58,5,79
"De 1 a 14 años (018)",5338,2734,949,144,1544
"De 15 a 29 años (019)",4299,907,539,105,2779
"De 30 a 44 años (020)",3833,478,841,128,2424
"De 45 a 64 años (021)",2802,359,475,98,1885
"De 65 y mas años (022)",1552,213,185,44,1111
,,,,,
"URBANA (024)",21913,4349,5241,1253,11494
"Menos de 1 año (025)",399,195,96,8,103
"De 1 a 14 años (026)",6337,2652,1556,251,1941
"De 15 a 29 años (027)",5335,725,985,300,3434
"De 30 a 44 años (028)",4842,351,1532,399,2730
"De 45 a 64 años (029)",3427,262,832,236,2176
"De 65 y mas años (030)",1573,164,240,59,1110
"Hombres (032)",11299,2043,2827,843,5897
"Menos de 1 año (033)",197,97,47,4,49
"De 1 a 14 años (034)",3201,1348,761,124,999
"De 15 a 29 años (035)",2746,282,546,208,1789
"De 30 a 44 años (036)",2504,131,858,293,1359
"De 45 a 64 años (037)",1872,119,489,175,1153
"De 65 y mas años (038)",779,66,126,39,548
"Mujeres (040)",10614,2306,2414,410,5597
"Menos de 1 año (041)",202,98,49,4,54
"De 1 a 14 años (042)",3136,1304,795,127,942
"De 15 a 29 años (043)",2589,443,439,92,1645
"De 30 a 44 años (044)",2338,220,674,106,1371
"De 45 a 64 años (045)",1555,143,343,61,1023
"De 65 y mas años (046)",794,98,114,20,562
,,,,,
"RURAL (048)",16512,4893,1917,287,9448
"Menos de 1 año (049)",265,193,14,2,57
"De 1 a 14 años (050)",4510,2877,306,37,1294
"De 15 a 29 años (051)",3815,793,407,41,2576
"De 30 a 44 años (052)",3528,419,671,60,2395
"De 45 a 64 años (053)",2835,391,350,85,2016
"De 65 y mas años (054)",1559,220,169,62,1110
"Hombres (056)",8970,2314,1284,173,5223
"Menos de 1 año (057)",135,97,5,1,32
"De 1 a 14 años (058)",2308,1447,152,20,692
"De 15 a 29 años (059)",2105,329,307,28,1442
"De 30 a 44 años (060)",2033,161,504,38,1342
"De 45 a 64 años (061)",1588,175,218,48,1154
"De 65 y mas años (062)",801,105,98,38,561
"Mujeres (064)",7542,2579,633,114,4225
"Menos de 1 año (065)",130,96,9,1,25
"De 1 a 14 años (066)",2202,1430,154,17,602
"De 15 a 29 años (067)",1710,464,100,13,1134
"De 30 a 44 años (068)",1495,258,167,22,1053
"De 45 a 64 años (069)",1247,216,132,37,862
"De 65 y mas años (070)",758,115,71,24,549
