"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",4571,40,1672,1448,505,150,72,25,2,,657
"Catolica (001)",3842,31,1377,1219,442,127,67,23,2,,554
"Cristiana / Evangelica (002)",538,5,224,161,45,18,3,1,,,81
"Otra (003)",132,2,48,51,12,3,2,1,,,13
"Ninguna (004)",59,2,23,17,6,2,,,,,9
,,,,,,,,,,,
"URBANA (006)",3584,30,1335,1119,378,115,56,19,2,,530
"Catolica (007)",2952,25,1068,927,325,98,51,17,2,,439
"Cristiana / Evangelica (008)",454,3,200,129,37,12,3,1,,,69
"Otra (009)",123,1,46,47,10,3,2,1,,,13
"Ninguna (010)",55,1,21,16,6,2,,,,,9
,,,,,,,,,,,
"RURAL (012)",987,10,337,329,127,35,16,6,,,127
"Catolica (013)",890,6,309,292,117,29,16,6,,,115
"Cristiana / Evangelica (014)",84,2,24,32,8,6,,,,,12
"Otra (015)",9,1,2,4,2,,,,,,
"Ninguna (016)",4,1,2,1,,,,,,,
