"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CANDARAVE (000)",7574,1294,2008,1870,1543,859
"Hombres (001)",3988,665,1089,981,827,426
"Mujeres (002)",3586,629,919,889,716,433
"PEA (003)",4270,41,1224,1392,1173,440
"Hombres (004)",2720,22,797,876,744,281
"Mujeres (005)",1550,19,427,516,429,159
"Ocupada (006)",4063,38,1141,1327,1125,432
"Hombres (007)",2550,19,729,824,704,274
"Mujeres (008)",1513,19,412,503,421,158
"Desocupada (009)",207,3,83,65,48,8
"Hombres (010)",170,3,68,52,40,7
"Mujeres (011)",37,,15,13,8,1
"No PEA (012)",3304,1253,784,478,370,419
"Hombres (013)",1268,643,292,105,83,145
"Mujeres (014)",2036,610,492,373,287,274
,,,,,,
"URBANA (018)",4929,787,1293,1239,1041,569
"Hombres (019)",2546,412,679,646,543,266
"Mujeres (020)",2383,375,614,593,498,303
"PEA (021)",2805,25,772,951,786,271
"Hombres (022)",1760,14,497,593,489,167
"Mujeres (023)",1045,11,275,358,297,104
"Ocupada (024)",2639,22,712,896,743,266
"Hombres (025)",1628,11,450,550,454,163
"Mujeres (026)",1011,11,262,346,289,103
"Desocupada (027)",166,3,60,55,43,5
"Hombres (028)",132,3,47,43,35,4
"Mujeres (029)",34,,13,12,8,1
"No PEA (030)",2124,762,521,288,255,298
"Hombres (031)",786,398,182,53,54,99
"Mujeres (032)",1338,364,339,235,201,199
,,,,,,
"RURAL (036)",2645,507,715,631,502,290
"Hombres (037)",1442,253,410,335,284,160
"Mujeres (038)",1203,254,305,296,218,130
"PEA (039)",1465,16,452,441,387,169
"Hombres (040)",960,8,300,283,255,114
"Mujeres (041)",505,8,152,158,132,55
"Ocupada (042)",1424,16,429,431,382,166
"Hombres (043)",922,8,279,274,250,111
"Mujeres (044)",502,8,150,157,132,55
"Desocupada (045)",41,,23,10,5,3
"Hombres (046)",38,,21,9,5,3
"Mujeres (047)",3,,2,1,,
"No PEA (048)",1180,491,263,190,115,121
"Hombres (049)",482,245,110,52,29,46
"Mujeres (050)",698,246,153,138,86,75
