"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PUNO (000)",62625,413,18216,22749,9116,3187,1147,359,69,,7369
"Catolica (001)",53128,347,15440,19344,7832,2660,970,299,60,,6176
"Cristiana / Evangelica (002)",4197,25,1285,1530,565,218,86,35,4,,449
"Otra (003)",3891,30,1063,1378,547,234,71,19,5,,544
"Ninguna (004)",1409,11,428,497,172,75,20,6,,,200
,,,,,,,,,,,
"URBANA (006)",36607,202,8879,12908,6210,2243,858,238,40,,5029
"Catolica (007)",31857,176,7733,11289,5470,1910,737,205,36,,4301
"Cristiana / Evangelica (008)",2176,10,568,771,324,138,52,21,2,,290
"Otra (009)",1931,12,414,644,327,157,51,7,2,,317
"Ninguna (010)",643,4,164,204,89,38,18,5,,,121
,,,,,,,,,,,
"RURAL (012)",26018,211,9337,9841,2906,944,289,121,29,,2340
"Catolica (013)",21271,171,7707,8055,2362,750,233,94,24,,1875
"Cristiana / Evangelica (014)",2021,15,717,759,241,80,34,14,2,,159
"Otra (015)",1960,18,649,734,220,77,20,12,3,,227
"Ninguna (016)",766,7,264,293,83,37,2,1,,,79
