"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia AYABACA (000)",31907,310,14477,9802,2651,885,364,102,22,,3294
"Sin Nivel (001)",9751,114,4531,2928,736,290,120,46,12,,974
"Educación Inicial (002)",32,1,9,13,1,,,,,,8
"Primaria (003)",16581,172,8079,5042,1219,365,161,43,7,,1493
"Secundaria (004)",3335,16,1437,1050,266,67,38,6,1,,454
"Sup. no Univ. Incompleta (005)",474,1,109,192,58,22,5,1,,,86
"Sup. no Univ. Completa (006)",1112,3,207,381,247,87,23,3,2,,159
"Sup. Univ. Incompleta (007)",136,1,33,44,22,9,1,1,,,25
"Sup. Univ. Completa (008)",486,2,72,152,102,45,16,2,,,95
,,,,,,,,,,,
"URBANA (010)",4164,32,1436,1342,536,221,90,22,3,,482
"Sin Nivel (011)",538,8,244,138,55,16,6,5,1,,65
"Educación Inicial (012)",3,,2,1,,,,,,,
"Primaria (013)",1261,17,552,365,116,64,25,8,,,114
"Secundaria (014)",842,4,316,268,97,28,21,5,1,,102
"Sup. no Univ. Incompleta (015)",308,1,75,134,39,16,4,1,,,38
"Sup. no Univ. Completa (016)",777,1,161,289,151,61,20,1,1,,92
"Sup. Univ. Incompleta (017)",86,1,25,29,11,6,1,,,,13
"Sup. Univ. Completa (018)",349,,61,118,67,30,13,2,,,58
,,,,,,,,,,,
"RURAL (020)",27743,278,13041,8460,2115,664,274,80,19,,2812
"Sin Nivel (021)",9213,106,4287,2790,681,274,114,41,11,,909
"Educación Inicial (022)",29,1,7,12,1,,,,,,8
"Primaria (023)",15320,155,7527,4677,1103,301,136,35,7,,1379
"Secundaria (024)",2493,12,1121,782,169,39,17,1,,,352
"Sup. no Univ. Incompleta (025)",166,,34,58,19,6,1,,,,48
"Sup. no Univ. Completa (026)",335,2,46,92,96,26,3,2,1,,67
"Sup. Univ. Incompleta (027)",50,,8,15,11,3,,1,,,12
"Sup. Univ. Completa (028)",137,2,11,34,35,15,3,,,,37
