"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SANTA (000)",7507,1569,5938
"Sin nivel (001)",189,29,160
"Educación inicial (002)",18,8,10
"Primaria (003)",1241,231,1010
"Secundaria (004)",3204,734,2470
"Superior no univ. incompleta (005)",550,99,451
"Superior no univ. completa (006)",696,113,583
"Superior univ. incompleta (007)",631,168,463
"Superior univ. completa (008)",978,187,791
"Hombres (010)",5379,993,4386
"Sin nivel (011)",125,16,109
"Educación inicial (012)",11,4,7
"Primaria (013)",949,162,787
"Secundaria (014)",2483,495,1988
"Superior no univ. incompleta (015)",376,65,311
"Superior no univ. completa (016)",464,60,404
"Superior univ. incompleta (017)",417,98,319
"Superior univ. completa (018)",554,93,461
"Mujeres (020)",2128,576,1552
"Sin nivel (021)",64,13,51
"Educación inicial (022)",7,4,3
"Primaria (023)",292,69,223
"Secundaria (024)",721,239,482
"Superior no univ. incompleta (025)",174,34,140
"Superior no univ. completa (026)",232,53,179
"Superior univ. incompleta (027)",214,70,144
"Superior univ. completa (028)",424,94,330
,,,
"AREA URBANA (030)",7145,1468,5677
"Sin nivel (031)",149,24,125
"Educación inicial (032)",18,8,10
"Primaria (033)",1096,181,915
"Secundaria (034)",3052,694,2358
"Superior no univ. incompleta (035)",547,98,449
"Superior no univ. completa (036)",685,110,575
"Superior univ. incompleta (037)",625,167,458
"Superior univ. completa (038)",973,186,787
"Hombres (040)",5062,909,4153
"Sin nivel (041)",89,11,78
"Educación inicial (042)",11,4,7
"Primaria (043)",817,117,700
"Secundaria (044)",2350,463,1887
"Superior no univ. incompleta (045)",373,64,309
"Superior no univ. completa (046)",457,59,398
"Superior univ. incompleta (047)",414,98,316
"Superior univ. completa (048)",551,93,458
"Mujeres (050)",2083,559,1524
"Sin nivel (051)",60,13,47
"Educación inicial (052)",7,4,3
"Primaria (053)",279,64,215
"Secundaria (054)",702,231,471
"Superior no univ. incompleta (055)",174,34,140
"Superior no univ. completa (056)",228,51,177
"Superior univ. incompleta (057)",211,69,142
"Superior univ. completa (058)",422,93,329
,,,
"AREA RURAL (060)",362,101,261
"Sin nivel (061)",40,5,35
"Primaria (063)",145,50,95
"Secundaria (064)",152,40,112
"Superior no univ. incompleta (065)",3,1,2
"Superior no univ. completa (066)",11,3,8
"Superior univ. incompleta (067)",6,1,5
"Superior univ. completa (068)",5,1,4
"Hombres (070)",317,84,233
"Sin nivel (071)",36,5,31
"Primaria (073)",132,45,87
"Secundaria (074)",133,32,101
"Superior no univ. incompleta (075)",3,1,2
"Superior no univ. completa (076)",7,1,6
"Superior univ. incompleta (077)",3,,3
"Superior univ. completa (078)",3,,3
"Mujeres (080)",45,17,28
"Sin nivel (081)",4,,4
"Primaria (083)",13,5,8
"Secundaria (084)",19,8,11
"Superior no univ. completa (086)",4,2,2
"Superior univ. incompleta (087)",3,1,2
"Superior univ. completa (088)",2,1,1
