"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia TRUJILLO (000)",13161,3077,10084
"De 14 a 29 años (001)",7151,2501,4650
"De 30 a 44 años (002)",3592,494,3098
"De 45 a 64 años (003)",2070,82,1988
"De 65 y más años (004)",348,,348
"Hombres (005)",8380,1641,6739
"De 14 a 29 años (006)",4247,1349,2898
"De 30 a 44 años (007)",2213,254,1959
"De 45 a 64 años (008)",1618,38,1580
"De 65 y más años (009)",302,,302
"Mujeres (010)",4781,1436,3345
"De 14 a 29 años (011)",2904,1152,1752
"De 30 a 44 años (012)",1379,240,1139
"De 45 a 64 años (013)",452,44,408
"De 65 y más años (014)",46,,46
,,,
"AREA URBANA (015)",12888,3022,9866
"De 14 a 29 años (016)",6987,2451,4536
"De 30 a 44 años (017)",3536,489,3047
"De 45 a 64 años (018)",2026,82,1944
"De 65 y más años (019)",339,,339
"Hombres (020)",8163,1609,6554
"De 14 a 29 años (021)",4126,1319,2807
"De 30 a 44 años (022)",2167,252,1915
"De 45 a 64 años (023)",1577,38,1539
"De 65 y más años (024)",293,,293
"Mujeres (025)",4725,1413,3312
"De 14 a 29 años (026)",2861,1132,1729
"De 30 a 44 años (027)",1369,237,1132
"De 45 a 64 años (028)",449,44,405
"De 65 y más años (029)",46,,46
,,,
"AREA RURAL (030)",273,55,218
"De 14 a 29 años (031)",164,50,114
"De 30 a 44 años (032)",56,5,51
"De 45 a 64 años (033)",44,,44
"De 65 y más años (034)",9,,9
"Hombres (035)",217,32,185
"De 14 a 29 años (036)",121,30,91
"De 30 a 44 años (037)",46,2,44
"De 45 a 64 años (038)",41,,41
"De 65 y más años (039)",9,,9
"Mujeres (040)",56,23,33
"De 14 a 29 años (041)",43,20,23
"De 30 a 44 años (042)",10,3,7
"De 45 a 64 años (043)",3,,3
