"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia CHURCAMPA",,,,,,,,,
"Viviendas particulares (001)",11054,2257,4319,1561,2009,307,362,67,172
"Ocupantes presentes (002)",43771,7260,17022,6654,8686,1373,1637,332,807
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",10634,2061,4199,1523,1955,298,361,66,171
"Ocupantes presentes (005)",42340,6777,16514,6493,8451,1345,1632,328,800
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",5,,1,1,1,1,1,,
"Ocupantes presentes (008)",17,,4,3,3,2,5,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",15,7,2,1,1,2,,1,1
"Ocupantes presentes (011)",55,15,4,9,9,7,,4,7
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",166,111,27,11,12,5,,,
"Ocupantes presentes (014)",443,241,102,41,44,15,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",224,72,88,23,40,1,,,
"Ocupantes presentes (017)",894,214,393,104,179,4,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",8,4,2,2,,,,,
"Ocupantes presentes (023)",17,8,5,4,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",2,2,,,,,,,
"Ocupantes presentes (026)",5,5,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",2476,541,684,363,500,128,140,35,85
"Ocupantes presentes (029)",9051,1574,2313,1456,1963,535,598,197,415
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",2286,422,652,349,486,120,139,34,84
"Ocupantes presentes (032)",8527,1317,2198,1400,1907,511,593,193,408
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",5,,1,1,1,1,1,,
"Ocupantes presentes (035)",17,,4,3,3,2,5,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",15,7,2,1,1,2,,1,1
"Ocupantes presentes (038)",55,15,4,9,9,7,,4,7
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",166,111,27,11,12,5,,,
"Ocupantes presentes (041)",443,241,102,41,44,15,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",4,1,2,1,,,,,
"Ocupantes presentes (050)",9,1,5,3,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",8578,1716,3635,1198,1509,179,222,32,87
"Ocupantes presentes (056)",34720,5686,14709,5198,6723,838,1039,135,392
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",8348,1639,3547,1174,1469,178,222,32,87
"Ocupantes presentes (059)",33813,5460,14316,5093,6544,834,1039,135,392
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",224,72,88,23,40,1,,,
"Ocupantes presentes (071)",894,214,393,104,179,4,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",4,3,,1,,,,,
"Ocupantes presentes (077)",8,7,,1,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",2,2,,,,,,,
"Ocupantes presentes (080)",5,5,,,,,,,
