"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SECHURA (000)",20424,569,8403,6430,4156,866
"Empleado (001)",2773,36,1252,990,465,30
"Obrero (002)",5058,144,2495,1543,782,94
"Trabajador independiente (003)",8845,116,2810,3002,2299,618
"Empleador o patrono (004)",736,2,191,243,239,61
"Trabajador familiar no remunerado (005)",1595,198,871,313,176,37
"Trabajador del hogar (006)",438,32,287,78,40,1
"Desocupado (008)",979,41,497,261,155,25
"Hombres (009)",14993,393,6054,4656,3168,722
"Empleado (010)",1422,21,491,553,330,27
"Obrero (011)",4325,104,2125,1313,695,88
"Trabajador independiente (012)",6622,87,2193,2141,1701,500
"Empleador o patrono (013)",637,2,156,212,210,57
"Trabajador familiar no remunerado (014)",1145,148,680,206,86,25
"Trabajador del hogar (015)",13,,9,3,1,
"Desocupado (017)",829,31,400,228,145,25
"Mujeres (018)",5431,176,2349,1774,988,144
"Empleado (019)",1351,15,761,437,135,3
"Obrero (020)",733,40,370,230,87,6
"Trabajador independiente (021)",2223,29,617,861,598,118
"Empleador o patrono (022)",99,,35,31,29,4
"Trabajador familiar no remunerado (023)",450,50,191,107,90,12
"Trabajador del hogar (024)",425,32,278,75,39,1
"Desocupado (026)",150,10,97,33,10,
,,,,,,
"URBANA (027)",18970,513,7775,6060,3845,777
"Empleado (028)",2697,35,1213,966,453,30
"Obrero (029)",4789,142,2348,1463,753,83
"Trabajador independiente (030)",8160,106,2612,2802,2084,556
"Empleador o patrono (031)",691,2,184,232,218,55
"Trabajador familiar no remunerado (032)",1284,159,677,272,147,29
"Trabajador del hogar (033)",423,30,275,78,39,1
"Desocupado (035)",926,39,466,247,151,23
"Hombres (036)",13792,352,5535,4349,2913,643
"Empleado (037)",1375,20,467,539,322,27
"Obrero (038)",4076,102,1986,1240,670,78
"Trabajador independiente (039)",6057,80,2032,1979,1520,446
"Empleador o patrono (040)",595,2,150,203,189,51
"Trabajador familiar no remunerado (041)",896,118,519,171,70,18
"Trabajador del hogar (042)",13,,9,3,1,
"Desocupado (044)",780,30,372,214,141,23
"Mujeres (045)",5178,161,2240,1711,932,134
"Empleado (046)",1322,15,746,427,131,3
"Obrero (047)",713,40,362,223,83,5
"Trabajador independiente (048)",2103,26,580,823,564,110
"Empleador o patrono (049)",96,,34,29,29,4
"Trabajador familiar no remunerado (050)",388,41,158,101,77,11
"Trabajador del hogar (051)",410,30,266,75,38,1
"Desocupado (053)",146,9,94,33,10,
,,,,,,
"RURAL (054)",1454,56,628,370,311,89
"Empleado (055)",76,1,39,24,12,
"Obrero (056)",269,2,147,80,29,11
"Trabajador independiente (057)",685,10,198,200,215,62
"Empleador o patrono (058)",45,,7,11,21,6
"Trabajador familiar no remunerado (059)",311,39,194,41,29,8
"Trabajador del hogar (060)",15,2,12,,1,
"Desocupado (062)",53,2,31,14,4,2
"Hombres (063)",1201,41,519,307,255,79
"Empleado (064)",47,1,24,14,8,
"Obrero (065)",249,2,139,73,25,10
"Trabajador independiente (066)",565,7,161,162,181,54
"Empleador o patrono (067)",42,,6,9,21,6
"Trabajador familiar no remunerado (068)",249,30,161,35,16,7
"Desocupado (071)",49,1,28,14,4,2
"Mujeres (072)",253,15,109,63,56,10
"Empleado (073)",29,,15,10,4,
"Obrero (074)",20,,8,7,4,1
"Trabajador independiente (075)",120,3,37,38,34,8
"Empleador o patrono (076)",3,,1,2,,
"Trabajador familiar no remunerado (077)",62,9,33,6,13,1
"Trabajador del hogar (078)",15,2,12,,1,
"Desocupado (080)",4,1,3,,,
