"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUAURA (000)",176992,33886,54158,40618,32344,15986
"Sin nivel (001)",7495,506,564,1415,2333,2677
"Educación inicial (002)",2569,2442,85,42,,
"Primaria (003)",53341,23313,4575,6527,10565,8361
"Secundaria (004)",67334,7625,29880,16841,10197,2791
"Superior no univ. incompleta (005)",6123,,3292,1814,813,204
"Superior no univ. completa (006)",6867,,2315,2800,1393,359
"Superior univ. incompleta (007)",14248,,9114,3143,1660,331
"Superior univ. completa (008)",19015,,4333,8036,5383,1263
"PEA (010)",81121,712,26696,29141,20534,4038
"Sin nivel (011)",2332,17,204,727,969,415
"Educación inicial (012)",58,8,29,21,,
"Primaria (013)",14960,360,2472,4070,5858,2200
"Secundaria (014)",33741,327,13930,11872,6808,804
"Superior no univ. incompleta (015)",3707,,1717,1323,586,81
"Superior no univ. completa (016)",4701,,1567,2110,940,84
"Superior univ. incompleta (017)",7266,,3591,2355,1212,108
"Superior univ. completa (018)",14356,,3186,6663,4161,346
"Ocupada (020)",77761,680,24922,28201,20021,3937
"Sin nivel (021)",2251,15,185,702,948,401
"Educación inicial (022)",54,7,28,19,,
"Primaria (023)",14458,350,2336,3929,5703,2140
"Secundaria (024)",32131,308,12992,11435,6610,786
"Superior no univ. incompleta (025)",3550,,1618,1285,568,79
"Superior no univ. completa (026)",4539,,1468,2072,916,83
"Superior univ. incompleta (027)",6935,,3347,2294,1187,107
