"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CONTUMAZA (000)",10166,214,3026,3390,2674,862
"Agric., ganadería, caza y silvicultura (001)",5030,138,1481,1447,1338,626
"Pesca (002)",5,,1,1,3,
"Explotación de minas y canteras (003)",53,,13,22,17,1
"Industrias manufactureras (004)",428,16,150,125,98,39
"Suministro de electricidad, gas y agua (005)",30,,12,12,5,1
"Construcción (006)",404,3,133,141,113,14
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",791,10,192,268,264,57
"Venta, mant.y rep. veh.autom.y motoc. (008)",69,2,24,23,19,1
"Comercio al por mayor (009)",34,,10,10,11,3
"Comercio al por menor (010)",688,8,158,235,234,53
"Hoteles y restaurantes (011)",249,1,67,78,87,16
"Trans., almac. y comunicaciones (012)",337,2,123,123,82,7
"Intermediación financiera (013)",4,,1,2,1,
"Activid.inmobil., empres. y alquileres (014)",130,,45,65,20,
"Admin.pub. y defensa; p. segur.soc afil (015)",338,,78,139,110,11
"Enseñanza (016)",822,,88,498,232,4
"Servicios sociales y de salud (017)",128,,17,63,44,4
"Otras activ. serv.comun.soc y personales (018)",120,,33,43,33,11
"Hogares privados con servicio doméstico (019)",167,7,77,45,32,6
"Actividad economica no especificada (021)",194,1,58,65,50,20
"Desocupado (022)",936,36,457,253,145,45
"Hombres (023)",8013,163,2414,2555,2123,758
"Agric., ganadería, caza y silvicultura (024)",4779,125,1418,1377,1267,592
"Pesca (025)",5,,1,1,3,
"Explotación de minas y canteras (026)",47,,12,18,16,1
"Industrias manufactureras (027)",227,3,70,71,56,27
"Suministro de electricidad, gas y agua (028)",28,,10,12,5,1
"Construcción (029)",393,3,132,135,110,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",424,6,103,135,145,35
"Venta, mant.y rep. veh.autom.y motoc. (031)",63,2,20,23,17,1
"Comercio al por mayor (032)",19,,6,6,4,3
"Comercio al por menor (033)",342,4,77,106,124,31
"Hoteles y restaurantes (034)",41,,10,14,14,3
"Trans., almac. y comunicaciones (035)",318,1,112,118,80,7
"Intermediación financiera (036)",1,,,1,,
"Activid.inmobil., empres. y alquileres (037)",101,,37,52,12,
"Admin.pub. y defensa; p. segur.soc afil (038)",269,,60,105,93,11
"Enseñanza (039)",377,,31,226,117,3
"Servicios sociales y de salud (040)",59,,7,23,25,4
"Otras activ. serv.comun.soc y personales (041)",62,,24,15,17,6
