"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia RIOJA (000)",58310,53704,4606
"Hombres (001)",30409,28577,1832
"Mujeres (002)",27901,25127,2774
"De 18 a 29 años (003)",21489,18906,2583
"Hombres (004)",10837,9584,1253
"Mujeres (005)",10652,9322,1330
"De 30 a 44 años (006)",20330,19558,772
"Hombres (007)",10490,10248,242
"Mujeres (008)",9840,9310,530
"De 45 a 64 años (009)",12578,12002,576
"Hombres (010)",7003,6842,161
"Mujeres (011)",5575,5160,415
"De 65 y más años (012)",3913,3238,675
"Hombres (013)",2079,1903,176
"Mujeres (014)",1834,1335,499
,,,
"URBANA (015)",43136,40310,2826
"Hombres (016)",22122,20989,1133
"Mujeres (017)",21014,19321,1693
"De 18 a 29 años (018)",15333,13753,1580
"Hombres (019)",7548,6778,770
"Mujeres (020)",7785,6975,810
"De 30 a 44 años (021)",15490,15031,459
"Hombres (022)",7835,7682,153
"Mujeres (023)",7655,7349,306
"De 45 a 64 años (024)",9392,9061,331
"Hombres (025)",5233,5140,93
"Mujeres (026)",4159,3921,238
"De 65 y más años (027)",2921,2465,456
"Hombres (028)",1506,1389,117
"Mujeres (029)",1415,1076,339
,,,
"RURAL (030)",15174,13394,1780
"Hombres (031)",8287,7588,699
"Mujeres (032)",6887,5806,1081
"De 18 a 29 años (033)",6156,5153,1003
"Hombres (034)",3289,2806,483
"Mujeres (035)",2867,2347,520
"De 30 a 44 años (036)",4840,4527,313
"Hombres (037)",2655,2566,89
"Mujeres (038)",2185,1961,224
"De 45 a 64 años (039)",3186,2941,245
"Hombres (040)",1770,1702,68
"Mujeres (041)",1416,1239,177
"De 65 y más años (042)",992,773,219
"Hombres (043)",573,514,59
"Mujeres (044)",419,259,160
