"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia DATEM DEL MARAÑON (000)",48859,1771,22714,12565,6997,3954,858
"Jefe o Jefa (001)",8777,,34,2425,3573,2273,472
"Esposa(o) / compañera(o) (002)",6573,,38,2878,2413,1110,134
"Hijo(a) / hijastro(a) (003)",23730,1212,17596,4597,297,28,
"Yerno / nuera (004)",558,,14,452,81,10,1
"Nieto(a) (005)",1822,238,1418,158,8,,
"Padres / suegros (006)",464,,,3,68,226,167
"Otro(a) pariente (007)",6284,318,3463,1735,456,239,73
"Trabajador(a) del hogar (008)",77,,11,52,7,6,1
"Pensionistas (009)",41,,5,25,5,5,1
"Otro(a) no pariente (010)",533,3,135,240,89,57,9
"Hombres (011)",24623,896,11403,6059,3648,2156,461
"Jefe o Jefa (012)",7086,,14,1929,2946,1841,356
"Esposa(o) / compañera(o) (013)",387,,18,146,133,76,14
"Hijo(a) / hijastro(a) (014)",12189,619,8855,2529,170,16,
"Yerno / nuera (015)",317,,3,243,61,9,1
"Nieto(a) (016)",912,124,695,85,8,,
"Padres / suegros (017)",145,,,1,27,58,59
"Otro(a) pariente (018)",3208,151,1747,939,231,112,28
"Trabajador(a) del hogar (019)",15,,2,12,1,,
"Pensionistas (020)",27,,4,15,4,3,1
"Otro(a) no pariente (021)",337,2,65,160,67,41,2
"Mujeres (022)",24236,875,11311,6506,3349,1798,397
"Jefe o Jefa (023)",1691,,20,496,627,432,116
"Esposa(o) / compañera(o) (024)",6186,,20,2732,2280,1034,120
"Hijo(a) / hijastro(a) (025)",11541,593,8741,2068,127,12,
"Yerno / nuera (026)",241,,11,209,20,1,
"Nieto(a) (027)",910,114,723,73,,,
"Padres / suegros (028)",319,,,2,41,168,108
"Otro(a) pariente (029)",3076,167,1716,796,225,127,45
"Trabajador(a) del hogar (030)",62,,9,40,6,6,1
"Pensionistas (031)",14,,1,10,1,2,
"Otro(a) no pariente (032)",196,1,70,80,22,16,7
,,,,,,,
"URBANA (033)",13371,405,5674,3629,2125,1257,281
"Jefe o Jefa (034)",2586,,15,590,1070,757,154
"Esposa(o) / compañera(o) (035)",1807,,6,683,726,349,43
"Hijo(a) / hijastro(a) (036)",6105,268,4272,1456,101,8,
"Yerno / nuera (037)",174,,3,143,25,3,
"Nieto(a) (038)",663,77,522,63,1,,
"Padres / suegros (039)",141,,,1,15,66,59
"Otro(a) pariente (040)",1581,59,785,522,146,49,20
"Trabajador(a) del hogar (041)",56,,7,41,5,3,
"Pensionistas (042)",25,,3,16,2,3,1
"Otro(a) no pariente (043)",233,1,61,114,34,19,4
"Hombres (044)",6690,211,2825,1744,1066,685,159
"Jefe o Jefa (045)",1936,,6,408,817,586,119
"Esposa(o) / compañera(o) (046)",160,,4,58,61,31,6
"Hijo(a) / hijastro(a) (047)",3135,143,2140,791,56,5,
"Yerno / nuera (048)",80,,2,56,19,3,
"Nieto(a) (049)",325,39,254,31,1,,
"Padres / suegros (050)",49,,,,5,20,24
"Otro(a) pariente (051)",836,28,390,304,81,25,8
"Trabajador(a) del hogar (052)",12,,1,11,,,
"Pensionistas (053)",17,,2,10,2,2,1
"Otro(a) no pariente (054)",140,1,26,75,24,13,1
"Mujeres (055)",6681,194,2849,1885,1059,572,122
"Jefe o Jefa (056)",650,,9,182,253,171,35
"Esposa(o) / compañera(o) (057)",1647,,2,625,665,318,37
"Hijo(a) / hijastro(a) (058)",2970,125,2132,665,45,3,
"Yerno / nuera (059)",94,,1,87,6,,
"Nieto(a) (060)",338,38,268,32,,,
"Padres / suegros (061)",92,,,1,10,46,35
"Otro(a) pariente (062)",745,31,395,218,65,24,12
"Trabajador(a) del hogar (063)",44,,6,30,5,3,
"Pensionistas (064)",8,,1,6,,1,
"Otro(a) no pariente (065)",93,,35,39,10,6,3
,,,,,,,
"RURAL (066)",35488,1366,17040,8936,4872,2697,577
"Jefe o Jefa (067)",6191,,19,1835,2503,1516,318
"Esposa(o) / compañera(o) (068)",4766,,32,2195,1687,761,91
"Hijo(a) / hijastro(a) (069)",17625,944,13324,3141,196,20,
"Yerno / nuera (070)",384,,11,309,56,7,1
"Nieto(a) (071)",1159,161,896,95,7,,
"Padres / suegros (072)",323,,,2,53,160,108
"Otro(a) pariente (073)",4703,259,2678,1213,310,190,53
"Trabajador(a) del hogar (074)",21,,4,11,2,3,1
"Pensionistas (075)",16,,2,9,3,2,
"Otro(a) no pariente (076)",300,2,74,126,55,38,5
"Hombres (077)",17933,685,8578,4315,2582,1471,302
"Jefe o Jefa (078)",5150,,8,1521,2129,1255,237
"Esposa(o) / compañera(o) (079)",227,,14,88,72,45,8
"Hijo(a) / hijastro(a) (080)",9054,476,6715,1738,114,11,
"Yerno / nuera (081)",237,,1,187,42,6,1
"Nieto(a) (082)",587,85,441,54,7,,
"Padres / suegros (083)",96,,,1,22,38,35
"Otro(a) pariente (084)",2372,123,1357,635,150,87,20
"Trabajador(a) del hogar (085)",3,,1,1,1,,
"Pensionistas (086)",10,,2,5,2,1,
"Otro(a) no pariente (087)",197,1,39,85,43,28,1
"Mujeres (088)",17555,681,8462,4621,2290,1226,275
"Jefe o Jefa (089)",1041,,11,314,374,261,81
"Esposa(o) / compañera(o) (090)",4539,,18,2107,1615,716,83
"Hijo(a) / hijastro(a) (091)",8571,468,6609,1403,82,9,
"Yerno / nuera (092)",147,,10,122,14,1,
"Nieto(a) (093)",572,76,455,41,,,
"Padres / suegros (094)",227,,,1,31,122,73
"Otro(a) pariente (095)",2331,136,1321,578,160,103,33
"Trabajador(a) del hogar (096)",18,,3,10,1,3,1
"Pensionistas (097)",6,,,4,1,1,
"Otro(a) no pariente (098)",103,1,35,41,12,10,4
