"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia MARISCAL RAMON CASTILLA (000)",9965,3760,6205
"Red pública dentro de la vivienda (001)",347,323,24
"Red pública fuera de la vivienda (002)",53,44,9
"Pilón de uso público (003)",281,134,147
"Camión - cisterna u otro similar (004)",10,6,4
"Pozo (005)",1379,572,807
"Río, acequia, manatial o similar (006)",7569,2501,5068
"Vecino (007)",67,49,18
"Otro (008)",259,131,128
,,,
"URBANA (010)",2812,2345,467
"Red pública dentro de la vivienda (011)",343,319,24
"Red pública fuera de la vivienda (012)",52,44,8
"Pilón de uso público (013)",52,31,21
"Camión - cisterna u otro similar (014)",8,5,3
"Pozo (015)",605,479,126
"Río, acequia, manatial o similar (016)",1561,1301,260
"Vecino (017)",57,46,11
"Otro (018)",134,120,14
,,,
"RURAL (020)",7153,1415,5738
"Red pública dentro de la vivienda (021)",4,4,
"Red pública fuera de la vivienda (022)",1,,1
"Pilón de uso público (023)",229,103,126
"Camión - cisterna u otro similar (024)",2,1,1
"Pozo (025)",774,93,681
"Río, acequia, manatial o similar (026)",6008,1200,4808
"Vecino (027)",10,3,7
"Otro (028)",125,11,114
