"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MARISCAL LUZURIAGA (000)",4480,3546,529,231,174
"Sin nivel (001)",1054,969,74,7,4
"Educación inicial (002)",11,10,1,,
"Primaria (003)",1311,1167,112,22,10
"Secundaria (004)",850,686,99,34,31
"Superior no univ. incompleta (005)",198,137,32,11,18
"Superior no univ. completa (006)",635,366,133,75,61
"Superior univ. incompleta (007)",108,55,26,13,14
"Superior univ. completa (008)",313,156,52,69,36
"De 06 a 14 años (010)",42,39,2,1,
"Sin nivel (011)",4,4,,,
"Primaria (013)",26,25,1,,
"Secundaria (014)",12,10,1,1,
"De 15 a 29 años (020)",1292,1034,159,39,60
"Sin nivel (021)",93,82,11,,
"Educación inicial (022)",7,6,1,,
"Primaria (023)",385,338,36,7,4
"Secundaria (024)",458,377,57,10,14
"Superior no univ. incompleta (025)",93,74,11,4,4
"Superior no univ. completa (026)",160,102,27,10,21
"Superior univ. incompleta (027)",39,25,8,2,4
"Superior univ. completa (028)",57,30,8,6,13
"De 30 a 44 años (030)",1612,1170,234,136,72
"Sin nivel (031)",324,288,32,3,1
"Educación inicial (032)",4,4,,,
"Primaria (033)",410,371,29,8,2
"Secundaria (034)",246,199,27,14,6
"Superior no univ. incompleta (035)",68,37,18,4,9
"Superior no univ. completa (036)",343,179,82,52,30
"Superior univ. incompleta (037)",47,20,12,9,6
"Superior univ. completa (038)",170,72,34,46,18
"De 45 a 64 años (040)",1161,954,119,52,36
"Sin nivel (041)",409,381,24,2,2
"Primaria (043)",393,344,39,7,3
"Secundaria (044)",119,88,14,9,8
"Superior no univ. incompleta (045)",34,23,3,3,5
"Superior no univ. completa (046)",112,67,23,13,9
"Superior univ. incompleta (047)",19,7,6,2,4
"Superior univ. completa (048)",75,44,10,16,5
"De 65 y más años (050)",373,349,15,3,6
"Sin nivel (051)",224,214,7,2,1
"Primaria (053)",97,89,7,,1
"Secundaria (054)",15,12,,,3
"Superior no univ. incompleta (055)",3,3,,,
"Superior no univ. completa (056)",20,18,1,,1
"Superior univ. incompleta (057)",3,3,,,
"Superior univ. completa (058)",11,10,,1,
,,,,,
"URBANA (060)",986,614,139,129,104
"Sin nivel (061)",81,74,6,1,
"Educación inicial (062)",2,1,1,,
