"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CAÑETE (000)",54829,723,20179,17539,6590,2342,1044,329,35,,6048
"Catolica (001)",49058,626,17797,15756,6009,2162,952,298,32,,5426
"Cristiana / Evangelica (002)",4219,70,1799,1288,406,129,68,25,2,,432
"Otra (003)",1043,17,377,335,129,39,19,6,1,,120
"Ninguna (004)",509,10,206,160,46,12,5,,,,70
,,,,,,,,,,,
"URBANA (006)",46482,594,16719,14788,5716,2061,945,288,31,,5340
"Catolica (007)",41577,515,14713,13286,5222,1903,861,258,28,,4791
"Cristiana / Evangelica (008)",3556,59,1500,1085,339,111,62,24,2,,374
"Otra (009)",906,12,324,285,115,37,18,6,1,,108
"Ninguna (010)",443,8,182,132,40,10,4,,,,67
,,,,,,,,,,,
"RURAL (012)",8347,129,3460,2751,874,281,99,41,4,,708
"Catolica (013)",7481,111,3084,2470,787,259,91,40,4,,635
"Cristiana / Evangelica (014)",663,11,299,203,67,18,6,1,,,58
"Otra (015)",137,5,53,50,14,2,1,,,,12
"Ninguna (016)",66,2,24,28,6,2,1,,,,3
