"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CANDARAVE (000)",7985,1128,180,3020,2862,186,226,125,258
"Quechua (001)",55,6,,13,19,4,4,,9
"Aymara (002)",1672,468,7,770,362,18,16,9,22
"Ashaninca (003)",6,4,,2,,,,,
"Otra lengua nativa (004)",3,,,,1,,1,,1
"Castellano (005)",6242,645,173,2233,2480,164,205,116,226
"Es sordomudo/a (007)",7,5,,2,,,,,
"Hombres (009)",4196,371,109,1515,1694,118,144,92,153
"Quechua (010)",42,4,,6,16,4,4,,8
"Aymara (011)",854,126,4,422,252,13,11,6,20
"Ashaninca (012)",1,1,,,,,,,
"Otra lengua nativa (013)",2,,,,1,,1,,
"Castellano (014)",3293,237,105,1086,1425,101,128,86,125
"Es sordomudo/a (016)",4,3,,1,,,,,
"Mujeres (018)",3789,757,71,1505,1168,68,82,33,105
"Quechua (019)",13,2,,7,3,,,,1
"Aymara (020)",818,342,3,348,110,5,5,3,2
"Ashaninca (021)",5,3,,2,,,,,
"Otra lengua nativa (022)",1,,,,,,,,1
"Castellano (023)",2949,408,68,1147,1055,63,77,30,101
"Es sordomudo/a (025)",3,2,,1,,,,,
,,,,,,,,,
"URBANA (027)",5194,683,116,1883,1890,128,180,108,206
"Quechua (028)",35,3,,10,10,2,4,,6
"Aymara (029)",1001,279,1,445,229,12,12,8,15
"Ashaninca (030)",4,3,,1,,,,,
"Otra lengua nativa (031)",1,,,,,,,,1
"Castellano (032)",4147,394,115,1425,1651,114,164,100,184
"Es sordomudo/a (034)",6,4,,2,,,,,
"Hombres (036)",2689,223,71,932,1084,81,105,78,115
"Quechua (037)",25,2,,4,8,2,4,,5
"Aymara (038)",493,67,1,235,155,9,8,5,13
"Castellano (041)",2167,151,70,692,921,70,93,73,97
"Es sordomudo/a (043)",4,3,,1,,,,,
"Mujeres (045)",2505,460,45,951,806,47,75,30,91
"Quechua (046)",10,1,,6,2,,,,1
"Aymara (047)",508,212,,210,74,3,4,3,2
"Ashaninca (048)",4,3,,1,,,,,
"Otra lengua nativa (049)",1,,,,,,,,1
"Castellano (050)",1980,243,45,733,730,44,71,27,87
"Es sordomudo/a (052)",2,1,,1,,,,,
,,,,,,,,,
"RURAL (054)",2791,445,64,1137,972,58,46,17,52
"Quechua (055)",20,3,,3,9,2,,,3
"Aymara (056)",671,189,6,325,133,6,4,1,7
"Ashaninca (057)",2,1,,1,,,,,
"Otra lengua nativa (058)",2,,,,1,,1,,
"Castellano (059)",2095,251,58,808,829,50,41,16,42
"Es sordomudo/a (061)",1,1,,,,,,,
"Hombres (063)",1507,148,38,583,610,37,39,14,38
"Quechua (064)",17,2,,2,8,2,,,3
"Aymara (065)",361,59,3,187,97,4,3,1,7
"Ashaninca (066)",1,1,,,,,,,
"Otra lengua nativa (067)",2,,,,1,,1,,
"Castellano (068)",1126,86,35,394,504,31,35,13,28
"Mujeres (072)",1284,297,26,554,362,21,7,3,14
"Quechua (073)",3,1,,1,1,,,,
"Aymara (074)",310,130,3,138,36,2,1,,
"Ashaninca (075)",1,,,1,,,,,
"Castellano (077)",969,165,23,414,325,19,6,3,14
"Es sordomudo/a (079)",1,1,,,,,,,
