"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SAN MARTIN (000)",42994,667,17834,12527,4466,1631,692,194,18,,4965
"Sin Nivel (001)",2158,103,1045,490,108,50,36,28,,,298
"Educación Inicial (002)",50,4,20,12,4,1,,,,,9
"Primaria (003)",16369,376,8966,4165,928,374,238,92,7,,1223
"Secundaria (004)",14884,156,6469,4637,1319,443,181,33,4,,1642
"Sup. no Univ. Incompleta (005)",1951,12,444,722,300,79,24,3,3,,364
"Sup. no Univ. Completa (006)",3888,9,495,1400,954,327,104,18,2,,579
"Sup. Univ. Incompleta (007)",1201,1,172,384,199,77,16,3,,,349
"Sup. Univ. Completa (008)",2493,6,223,717,654,280,93,17,2,,501
,,,,,,,,,,,
"URBANA (010)",39617,553,15932,11771,4329,1573,670,185,18,,4586
"Sin Nivel (011)",1668,71,791,397,79,45,31,25,,,229
"Educación Inicial (012)",40,3,17,8,4,1,,,,,7
"Primaria (013)",14212,302,7655,3715,861,339,226,87,7,,1020
"Secundaria (014)",14255,149,6146,4466,1291,431,179,32,4,,1557
"Sup. no Univ. Incompleta (015)",1928,12,439,715,297,78,23,3,3,,358
"Sup. no Univ. Completa (016)",3841,9,490,1378,947,324,102,18,2,,571
"Sup. Univ. Incompleta (017)",1192,1,171,381,198,75,16,3,,,347
"Sup. Univ. Completa (018)",2481,6,223,711,652,280,93,17,2,,497
,,,,,,,,,,,
"RURAL (020)",3377,114,1902,756,137,58,22,9,,,379
"Sin Nivel (021)",490,32,254,93,29,5,5,3,,,69
"Educación Inicial (022)",10,1,3,4,,,,,,,2
"Primaria (023)",2157,74,1311,450,67,35,12,5,,,203
"Secundaria (024)",629,7,323,171,28,12,2,1,,,85
"Sup. no Univ. Incompleta (025)",23,,5,7,3,1,1,,,,6
"Sup. no Univ. Completa (026)",47,,5,22,7,3,2,,,,8
"Sup. Univ. Incompleta (027)",9,,1,3,1,2,,,,,2
"Sup. Univ. Completa (028)",12,,,6,2,,,,,,4
