"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia BOLOGNESI (000)",27090,6183,7495,5935,4636,2841
"Sin nivel (001)",2493,268,205,449,682,889
"Educación inicial (002)",818,669,84,65,,
"Primaria (003)",11166,4208,1463,1806,2217,1472
"Secundaria (004)",8095,1038,3994,1887,963,213
"Superior no univ. incompleta (005)",1105,,597,323,138,47
"Superior no univ. completa (006)",1373,,484,586,219,84
"Superior univ. incompleta (007)",652,,328,199,105,20
"Superior univ. completa (008)",1388,,340,620,312,116
"PEA (010)",11569,153,3649,3994,2711,1062
"Sin nivel (011)",698,10,60,165,253,210
"Educación inicial (012)",83,13,36,34,,
"Primaria (013)",3667,89,680,1013,1218,667
"Secundaria (014)",4003,41,1830,1390,657,85
"Superior no univ. incompleta (015)",644,,278,243,102,21
"Superior no univ. completa (016)",1022,,356,477,162,27
"Superior univ. incompleta (017)",384,,131,163,82,8
"Superior univ. completa (018)",1068,,278,509,237,44
"Ocupada (020)",11045,146,3368,3846,2636,1049
"Sin nivel (021)",687,10,54,163,250,210
"Educación inicial (022)",77,13,33,31,,
"Primaria (023)",3528,85,628,972,1187,656
"Secundaria (024)",3785,38,1695,1330,638,84
"Superior no univ. incompleta (025)",611,,255,234,101,21
"Superior no univ. completa (026)",971,,327,465,153,26
"Superior univ. incompleta (027)",363,,117,158,80,8
"Superior univ. completa (028)",1023,,259,493,227,44
"Desocupada (030)",524,7,281,148,75,13
"Sin nivel (031)",11,,6,2,3,
