"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ASCOPE (000)",45774,43599,12660,7326,7149,5077,5608,3011,1580,1188,2175,107616
"De 12 a 14 años (001)",3475,3455,3434,18,3,,,,,,20,24
"De 15 a 19 años (002)",5170,5052,4413,576,55,5,3,,,,118,713
"De 20 a 24 años (003)",4732,4187,1807,1680,571,114,13,2,,,545,3229
"De 25 a 29 años (004)",4453,3985,830,1524,1091,417,112,10,1,,468,5491
"De 30 a 34 años (005)",4137,3878,460,1048,1294,646,385,43,2,,259,7490
"De 35 a 39 años (006)",4094,3891,378,758,1213,829,589,106,13,5,203,9036
"De 40 a 44 años (007)",4016,3843,335,558,1034,858,771,224,52,11,173,10511
"De 45 a 49 años (008)",3529,3392,318,395,708,724,811,317,84,35,137,10638
"De 50 y más años (009)",12168,11916,685,769,1180,1484,2924,2309,1428,1137,252,60484
"PEA (010)",10780,9893,2509,2126,1920,1318,1231,497,182,110,887,21214
"De 12 a 14 años (011)",88,85,84,1,,,,,,,3,1
"De 15 a 19 años (012)",582,566,508,48,9,1,,,,,16,69
"De 20 a 24 años (013)",1242,1027,597,326,79,22,3,,,,215,563
"De 25 a 29 años (014)",1398,1174,407,437,228,77,24,1,,,224,1230
"De 30 a 34 años (015)",1408,1265,247,401,352,167,84,13,1,,143,2051
"De 35 a 39 años (016)",1411,1316,182,309,395,242,161,24,2,1,95,2697
"De 40 a 44 años (017)",1375,1293,140,231,337,273,237,63,10,2,82,3239
"De 45 a 49 años (018)",1201,1145,143,169,257,234,228,84,21,9,56,3185
"De 50 y más años (019)",2075,2022,201,204,263,302,494,312,148,98,53,8179
"Ocupada (020)",10091,9324,2185,2007,1859,1291,1204,489,179,110,767,20696
"De 12 a 14 años (021)",74,72,71,1,,,,,,,2,1
