"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CONDORCANQUI (000)",12245,37743,34003,,1419,90.1,3.8
"De 12 a 14 años (001)",1769,13,12,,4,92.3,30.8
"De 15 a 19 años (002)",2324,1030,1004,252,97.5,24.5,
"De 20 a 24 años (003)",1818,3428,3311,362,96.6,10.6,
"De 25 a 29 años (004)",1643,5374,5108,353,95.1,6.6,
"De 30 a 34 años (005)",1164,5399,5068,225,93.9,4.2,
"De 35 a 39 años (006)",1107,6528,5964,157,91.4,2.4,
"De 40 a 44 años (007)",678,4336,3906,58,90.1,1.3,
"De 45 a 49 años (008)",557,3809,3315,8,87,0.2,
"De 50 y más años (009)",1185,7826,6315,,80.7,,
"PEA (010)",4376,15615,14355,531,91.9,3.4,
"De 12 a 14 años (011)",95,2,2,1,100,50,
"De 15 a 19 años (012)",702,440,429,95,97.5,21.6,
"De 20 a 24 años (013)",791,1491,1442,119,96.7,8,
"De 25 a 29 años (014)",736,2238,2152,126,96.2,5.6,
"De 30 a 34 años (015)",548,2407,2279,99,94.7,4.1,
"De 35 a 39 años (016)",530,3060,2818,65,92.1,2.1,
"De 40 a 44 años (017)",311,1855,1684,25,90.8,1.3,
"De 45 a 49 años (018)",238,1467,1321,1,90,0.1,
"De 50 y más años (019)",425,2655,2228,,83.9,,
"Ocupada (020)",4322,15538,14286,527,91.9,3.4,
"De 12 a 14 años (021)",88,2,2,1,100,50,
"De 15 a 19 años (022)",683,437,426,95,97.5,21.7,
"De 20 a 24 años (023)",779,1477,1432,118,97,8,
"De 25 a 29 años (024)",727,2214,2128,125,96.1,5.6,
"De 30 a 34 años (025)",545,2391,2264,97,94.7,4.1,
"De 35 a 39 años (026)",528,3054,2813,65,92.1,2.1,
"De 40 a 44 años (027)",309,1841,1672,25,90.8,1.4,
"De 45 a 49 años (028)",238,1467,1321,1,90,0.1,
"De 50 y más años (029)",425,2655,2228,,83.9,,
"Desocupada (030)",54,77,69,4,89.6,5.2,
"De 12 a 14 años (031)",7,,,,,,
"De 15 a 19 años (032)",19,3,3,,100,,
"De 20 a 24 años (033)",12,14,10,1,71.4,7.1,
"De 25 a 29 años (034)",9,24,24,1,100,4.2,
"De 30 a 34 años (035)",3,16,15,2,93.8,12.5,
"De 35 a 39 años (036)",2,6,5,,83.3,,
