"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHUPACA (000)",19037,15756,1511,892,878
"Agric., ganadería, caza y silvicultura (001)",9637,9054,522,47,14
"Pesca (002)",15,12,2,1,
"Explotación de minas y canteras (003)",236,33,19,95,89
"Industrias manufactureras (004)",1432,1277,104,31,20
"Suministro de electricidad, gas y agua (005)",31,3,1,25,2
"Construcción (006)",734,574,100,43,17
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2062,1914,112,28,8
"Venta, mant.y rep. veh.autom y motoc. (008)",208,176,23,4,5
"Comercio al por mayor (009)",69,59,4,3,3
"Comercio al por menor (010)",1785,1679,85,21,
"Hoteles y restaurantes (011)",607,552,39,15,1
"Trans., almac. y comunicaciones (012)",1065,923,56,55,31
"Intermediación financiera (013)",14,4,2,7,1
"Activid.inmobil., empres. y alquileres (014)",369,193,58,66,52
"Admin.pub. y defensa; p. segur soc.afil (015)",351,,,,351
"Enseñanza (016)",1215,250,402,438,125
"Servicios sociales y de salud (017)",241,73,14,9,145
"Otras activ. serv.comun.soc y personales (018)",306,233,54,15,4
"Hogares privados con servicio doméstico (019)",305,305,,,
"Actividad economica no especificada (021)",417,356,26,17,18
"Hombres (022)",11371,9136,978,637,620
"Agric., ganadería, caza y silvicultura (023)",5437,5103,300,25,9
"Pesca (024)",12,10,1,1,
"Explotación de minas y canteras (025)",232,29,19,95,89
"Industrias manufactureras (026)",1194,1065,88,25,16
"Suministro de electricidad, gas y agua (027)",29,2,1,24,2
"Construcción (028)",718,564,97,41,16
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",904,803,75,20,6
"Venta, mant.y rep. veh.autom y motoc. (030)",199,167,23,4,5
"Comercio al por mayor (031)",33,26,3,3,1
"Comercio al por menor (032)",672,610,49,13,
"Hoteles y restaurantes (033)",186,157,19,9,1
"Trans., almac. y comunicaciones (034)",1010,875,54,52,29
"Intermediación financiera (035)",8,1,1,5,1
"Activid.inmobil., empres. y alquileres (036)",280,147,45,52,36
"Admin.pub. y defensa; p. segur soc.afil (037)",258,,,,258
"Enseñanza (038)",640,93,207,256,84
"Servicios sociales y de salud (039)",102,35,5,5,57
"Otras activ. serv.comun.soc y personales (040)",161,96,49,14,2
"Hogares privados con servicio doméstico (041)",18,18,,,
