"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia MARISCAL LUZURIAGA (000)",21645,11114,1814,301,8425
"Quechua (001)",19687,10414,1243,258,7779
"Aymara (002)",19,6,1,,12
"Asháninka (003)",1,,1,,
"Otra lengua nativa (004)",1,1,,,
"Castellano (005)",1841,677,568,43,555
"Idioma Extranjero (006)",1,,,,1
"Es Sordomudo/a (007)",95,16,1,,78
"Hombres (009)",10624,5116,953,183,4378
"Quechua (010)",9603,4751,655,153,4048
"Aymara (011)",8,3,1,,4
"Asháninka (012)",1,,1,,
"Castellano (014)",961,352,295,30,286
"Idioma Extranjero (015)",1,,,,1
"Es Sordomudo/a (016)",50,10,1,,39
"Mujeres (018)",11021,5998,861,118,4047
"Quechua (019)",10084,5663,588,105,3731
"Aymara (020)",11,3,,,8
"Otra lengua nativa (022)",1,1,,,
"Castellano (023)",880,325,273,13,269
"Es Sordomudo/a (025)",45,6,,,39
,,,,,
"URBANA (027)",2731,791,778,63,1100
"Quechua (028)",1846,611,409,27,799
"Aymara (029)",1,1,,,
"Asháninka (030)",1,,1,,
"Castellano (032)",878,178,368,36,297
"Idioma Extranjero (033)",1,,,,1
"Es Sordomudo/a (034)",4,1,,,3
"Hombres (036)",1373,384,388,44,558
"Quechua (037)",917,296,199,19,403
"Asháninka (039)",1,,1,,
"Castellano (041)",452,87,188,25,153
"Idioma Extranjero (042)",1,,,,1
"Es Sordomudo/a (043)",2,1,,,1
"Mujeres (045)",1358,407,390,19,542
"Quechua (046)",929,315,210,8,396
"Aymara (047)",1,1,,,
"Castellano (050)",426,91,180,11,144
"Es Sordomudo/a (052)",2,,,,2
,,,,,
"RURAL (054)",18914,10323,1036,238,7325
"Quechua (055)",17841,9803,834,231,6980
"Aymara (056)",18,5,1,,12
"Otra lengua nativa (058)",1,1,,,
"Castellano (059)",963,499,200,7,258
"Es Sordomudo/a (061)",91,15,1,,75
"Hombres (063)",9251,4732,565,139,3820
"Quechua (064)",8686,4455,456,134,3645
"Aymara (065)",8,3,1,,4
"Castellano (068)",509,265,107,5,133
"Es Sordomudo/a (070)",48,9,1,,38
"Mujeres (072)",9663,5591,471,99,3505
"Quechua (073)",9155,5348,378,97,3335
"Aymara (074)",10,2,,,8
"Otra lengua nativa (076)",1,1,,,
"Castellano (077)",454,234,93,2,125
"Es Sordomudo/a (079)",43,6,,,37
