"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",11678,11158,56,2025,1861,1675,2507,1644,888,502,520,45414
"De 12 a 14 años (001)",51,23,,21,2,,,,,,28,25
"De 15 a 19 años (002)",1064,923,10,683,190,33,7,,,,141,1190
"De 20 a 24 años (003)",1953,1810,17,655,636,352,139,11,,,143,3635
"De 25 a 29 años (004)",1815,1715,6,291,444,458,447,63,6,,100,4912
"De 30 a 34 años (005)",1420,1393,4,118,231,292,524,179,39,6,27,5303
"De 35 a 39 años (006)",1328,1306,4,72,132,231,445,308,88,26,22,5992
"De 40 a 44 años (007)",1036,1028,3,40,66,107,306,294,157,55,8,5671
"De 45 a 49 años (008)",854,844,1,43,56,71,197,233,165,78,10,4991
"De 50 y más años (009)",2157,2116,11,102,104,131,442,556,433,337,41,13695
"PEA (010)",3682,3483,18,583,580,530,772,538,298,164,199,14523
"De 12 a 14 años (011)",7,3,,2,1,,,,,,4,4
"De 15 a 19 años (012)",215,177,,145,25,6,1,,,,38,217
"De 20 a 24 años (013)",514,463,5,183,154,93,25,3,,,51,894
"De 25 a 29 años (014)",543,495,1,103,143,125,107,15,1,,48,1323
"De 30 a 34 años (015)",441,423,1,54,94,85,133,45,8,3,18,1466
"De 35 a 39 años (016)",497,480,4,34,68,91,163,82,31,7,17,2032
"De 40 a 44 años (017)",425,420,2,15,39,50,123,117,55,19,5,2205
"De 45 a 49 años (018)",352,346,1,16,25,36,75,95,69,29,6,2021
"De 50 y más años (019)",688,676,4,31,31,44,145,181,134,106,12,4361
"Ocupada (020)",3557,3376,17,546,561,514,751,530,295,162,181,14206
"De 12 a 14 años (021)",7,3,,2,1,,,,,,4,4
