"CUADRO Nº 15: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE SERVICIO HIGIÉNICO EN LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"SERVICIO HIGIÉNICO CONECTADO A:",,,,,
,,"RED PÚBLICA DE DESAGÜE (DENTRO DE LA VIVIENDA)","RED PÚBLICA DE DESAGÜE (FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN)","POZO SÉPTICO","POZO CIEGO O NEGRO / LETRINA","RÍO, ACEQUIA O CANAL","NO TIENE"
,,,,,,,
"Provincia CHACHAPOYAS",,,,,,,
"Viviendas particulares (001)",13044,5392,2252,595,2867,210,1728
"Ocupantes presentes (002)",48870,20411,7889,2394,11449,796,5931
"Casa independiente",,,,,,,
"Viviendas particulares (004)",11503,4832,1322,592,2858,210,1689
"Ocupantes presentes (005)",44194,18449,5324,2383,11415,796,5827
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",97,69,28,,,,
"Ocupantes presentes (008)",283,217,66,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",223,163,60,,,,
"Ocupantes presentes (011)",740,537,203,,,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",1168,324,840,,,,4
"Ocupantes presentes (014)",3505,1197,2294,,,,14
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",39,,,2,7,,30
"Ocupantes presentes (017)",110,,,8,24,,78
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",3,,,1,1,,1
"Ocupantes presentes (020)",17,,,3,9,,5
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",7,4,2,,1,,
"Ocupantes presentes (023)",14,11,2,,1,,
"Otro tipo",,,,,,,
"Viviendas particulares (025)",4,,,,,,4
"Ocupantes presentes (026)",7,,,,,,7
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",9000,5137,2048,301,965,122,427
"Ocupantes presentes (029)",33513,19418,7020,1261,3911,444,1459
"Casa independiente",,,,,,,
"Viviendas particulares (031)",7503,4578,1120,300,964,122,419
"Ocupantes presentes (032)",28954,17457,4457,1258,3902,444,1436
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",97,69,28,,,,
"Ocupantes presentes (035)",283,217,66,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",223,163,60,,,,
"Ocupantes presentes (038)",740,537,203,,,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",1168,324,840,,,,4
"Ocupantes presentes (041)",3505,1197,2294,,,,14
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",3,,,1,1,,1
"Ocupantes presentes (047)",17,,,3,9,,5
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",3,3,,,,,
"Ocupantes presentes (050)",10,10,,,,,
"Otro tipo",,,,,,,
"Viviendas particulares (052)",3,,,,,,3
"Ocupantes presentes (053)",4,,,,,,4
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",4044,255,204,294,1902,88,1301
"Ocupantes presentes (056)",15357,993,869,1133,7538,352,4472
"Casa independiente",,,,,,,
"Viviendas particulares (058)",4000,254,202,292,1894,88,1270
"Ocupantes presentes (059)",15240,992,867,1125,7513,352,4391
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",39,,,2,7,,30
"Ocupantes presentes (071)",110,,,8,24,,78
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",4,1,2,,1,,
"Ocupantes presentes (077)",4,1,2,,1,,
"Otro tipo",,,,,,,
"Viviendas particulares (079)",1,,,,,,1
"Ocupantes presentes (080)",3,,,,,,3
