"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LIMA (000)",3156317,2836856,883502,539517,545583,355308,316745,118687,50209,27305,319461,5562836
"De 12 a 14 años (001)",197904,196191,195094,892,205,,,,,,1713,1302
"De 15 a 19 años (002)",365311,357881,329374,25369,2453,506,179,,,,7430,32509
"De 20 a 24 años (003)",388619,299384,165024,101462,27263,4287,890,458,,,89235,175463
"De 25 a 29 años (004)",365893,275554,64987,116423,68997,19391,5181,437,138,,90339,338099
"De 30 a 34 años (005)",338333,290782,39563,94467,96679,41169,16973,1537,183,211,47551,496426
"De 35 a 39 años (006)",296779,271312,22462,61591,94573,55812,31638,4380,645,211,25467,588341
"De 40 a 44 años (007)",257661,241970,16063,40374,77095,56425,41282,8651,1640,440,15691,614974
"De 45 a 49 años (008)",217104,205685,11925,29391,57554,47945,42388,12428,3173,881,11419,587378
"De 50 y más años (009)",728713,698097,39010,69548,120764,129773,178214,90796,44430,25562,30616,2728344
"PEA (010)",1388514,1175626,322740,287325,258052,148225,111093,32847,10685,4659,212888,2079365
"De 12 a 14 años (011)",7121,7045,6845,156,44,,,,,,76,244
"De 15 a 19 años (012)",94632,92380,84315,7138,667,192,68,,,,2252,9320
"De 20 a 24 años (013)",206967,150546,96713,43030,8853,1358,332,260,,,56421,67819
"De 25 a 29 años (014)",218108,149550,50387,62508,27550,6993,1813,238,61,,68558,148160
"De 30 a 34 años (015)",200680,163182,31984,59112,46664,17464,7089,676,79,114,37498,240843
"De 35 a 39 años (016)",175469,156250,17573,41421,52302,27557,15007,1996,284,110,19219,308766
"De 40 a 44 años (017)",151004,140028,11619,27522,45344,29935,20627,4033,761,187,10976,330676
"De 45 a 49 años (018)",122246,114897,8359,19634,33559,25159,20607,5853,1362,364,7349,304030
