"CUADRO Nº 15: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE SERVICIO HIGIÉNICO EN LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"SERVICIO HIGIÉNICO CONECTADO A:",,,,,
,,"RED PÚBLICA DE DESAGÜE (DENTRO DE LA VIVIENDA)","RED PÚBLICA DE DESAGÜE (FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN)","POZO SÉPTICO","POZO CIEGO O NEGRO / LETRINA","RÍO, ACEQUIA O CANAL","NO TIENE"
,,,,,,,
"Provincia RODRIGUEZ DE MENDOZA",,,,,,,
"Viviendas particulares (001)",6801,1845,76,304,1929,635,2012
"Ocupantes presentes (002)",26354,7019,291,1163,8076,2312,7493
"Casa independiente",,,,,,,
"Viviendas particulares (004)",6744,1825,73,304,1909,634,1999
"Ocupantes presentes (005)",26147,6931,284,1163,8012,2310,7447
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",18,15,3,,,,
"Ocupantes presentes (011)",69,62,7,,,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",2,2,,,,,
"Ocupantes presentes (014)",16,16,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",30,,,,20,1,9
"Ocupantes presentes (017)",94,,,,64,2,28
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",2,1,,,,,1
"Ocupantes presentes (020)",7,6,,,,,1
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",3,2,,,,,1
"Ocupantes presentes (023)",13,4,,,,,9
"Otro tipo",,,,,,,
"Viviendas particulares (025)",2,,,,,,2
"Ocupantes presentes (026)",8,,,,,,8
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",2273,1565,44,29,156,184,295
"Ocupantes presentes (029)",8560,5940,157,115,651,683,1014
"Casa independiente",,,,,,,
"Viviendas particulares (031)",2248,1545,41,29,156,184,293
"Ocupantes presentes (032)",8460,5852,150,115,651,683,1009
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",18,15,3,,,,
"Ocupantes presentes (038)",69,62,7,,,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",2,2,,,,,
"Ocupantes presentes (041)",16,16,,,,,
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",2,1,,,,,1
"Ocupantes presentes (047)",7,6,,,,,1
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",2,2,,,,,
"Ocupantes presentes (050)",4,4,,,,,
"Otro tipo",,,,,,,
"Viviendas particulares (052)",1,,,,,,1
"Ocupantes presentes (053)",4,,,,,,4
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",4528,280,32,275,1773,451,1717
"Ocupantes presentes (056)",17794,1079,134,1048,7425,1629,6479
"Casa independiente",,,,,,,
"Viviendas particulares (058)",4496,280,32,275,1753,450,1706
"Ocupantes presentes (059)",17687,1079,134,1048,7361,1627,6438
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",30,,,,20,1,9
"Ocupantes presentes (071)",94,,,,64,2,28
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",1,,,,,,1
"Ocupantes presentes (077)",9,,,,,,9
"Otro tipo",,,,,,,
"Viviendas particulares (079)",1,,,,,,1
"Ocupantes presentes (080)",4,,,,,,4
