"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia SAN IGNACIO (000)",29121,130377,4801,19777,24320,110600
"Casa independiente (001)",28081,126300,4315,18070,23766,108230
"Departamento en edificio (002)",24,89,24,89,,
"Vivienda en quinta (003)",180,663,180,663,,
"Vivienda en casa de vecindad (004)",264,895,264,895,,
"Choza o cabaña (005)",535,2314,,,535,2314
"Vivienda improvisada (006)",8,31,8,31,,
"Local no dest.para hab. humana (007)",23,72,7,25,16,47
"Otro tipo (008)",6,13,3,4,3,9
