"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SANCHEZ CARRION (000)",1672,642,1030
"De 14 a 29 años (001)",1024,472,552
"De 30 a 44 años (002)",422,139,283
"De 45 a 64 años (003)",185,31,154
"De 65 y más años (004)",41,,41
"Hombres (005)",1328,481,847
"De 14 a 29 años (006)",765,343,422
"De 30 a 44 años (007)",354,112,242
"De 45 a 64 años (008)",173,26,147
"De 65 y más años (009)",36,,36
"Mujeres (010)",344,161,183
"De 14 a 29 años (011)",259,129,130
"De 30 a 44 años (012)",68,27,41
"De 45 a 64 años (013)",12,5,7
"De 65 y más años (014)",5,,5
,,,
"AREA URBANA (015)",750,221,529
"De 14 a 29 años (016)",442,161,281
"De 30 a 44 años (017)",200,49,151
"De 45 a 64 años (018)",91,11,80
"De 65 y más años (019)",17,,17
"Hombres (020)",568,151,417
"De 14 a 29 años (021)",322,113,209
"De 30 a 44 años (022)",148,30,118
"De 45 a 64 años (023)",84,8,76
"De 65 y más años (024)",14,,14
"Mujeres (025)",182,70,112
"De 14 a 29 años (026)",120,48,72
"De 30 a 44 años (027)",52,19,33
"De 45 a 64 años (028)",7,3,4
"De 65 y más años (029)",3,,3
,,,
"AREA RURAL (030)",922,421,501
"De 14 a 29 años (031)",582,311,271
"De 30 a 44 años (032)",222,90,132
"De 45 a 64 años (033)",94,20,74
"De 65 y más años (034)",24,,24
"Hombres (035)",760,330,430
"De 14 a 29 años (036)",443,230,213
"De 30 a 44 años (037)",206,82,124
"De 45 a 64 años (038)",89,18,71
"De 65 y más años (039)",22,,22
"Mujeres (040)",162,91,71
"De 14 a 29 años (041)",139,81,58
"De 30 a 44 años (042)",16,8,8
"De 45 a 64 años (043)",5,2,3
"De 65 y más años (044)",2,,2
