"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia BOLIVAR (000)",4256,134,1304,1426,1074,318
"Empleado (001)",601,2,140,306,149,4
"Obrero (002)",637,16,239,207,143,32
"Trabajador independiente (003)",2201,23,510,758,663,247
"Empleador o patrono (004)",30,,9,12,6,3
"Trabajador familiar no remunerado (005)",682,85,361,118,94,24
"Trabajador del hogar (006)",105,8,45,25,19,8
"Hombres (008)",3456,110,1058,1118,893,277
"Empleado (009)",357,1,76,167,109,4
"Obrero (010)",558,14,210,179,124,31
"Trabajador independiente (011)",1998,20,465,682,606,225
"Empleador o patrono (012)",28,,7,12,6,3
"Trabajador familiar no remunerado (013)",502,74,295,76,45,12
"Trabajador del hogar (014)",13,1,5,2,3,2
"Mujeres (016)",800,24,246,308,181,41
"Empleado (017)",244,1,64,139,40,
"Obrero (018)",79,2,29,28,19,1
"Trabajador independiente (019)",203,3,45,76,57,22
"Empleador o patrono (020)",2,,2,,,
"Trabajador familiar no remunerado (021)",180,11,66,42,49,12
"Trabajador del hogar (022)",92,7,40,23,16,6
,,,,,,
"URBANA (024)",1670,32,423,629,487,99
"Empleado (025)",501,1,104,260,133,3
"Obrero (026)",277,4,99,92,68,14
"Trabajador independiente (027)",630,5,110,221,226,68
"Empleador o patrono (028)",7,,3,3,1,
"Trabajador familiar no remunerado (029)",182,17,74,35,48,8
"Trabajador del hogar (030)",73,5,33,18,11,6
"Hombres (032)",1172,19,285,423,364,81
"Empleado (033)",294,,53,141,97,3
"Obrero (034)",233,2,86,78,54,13
"Trabajador independiente (035)",527,4,92,181,192,58
"Empleador o patrono (036)",6,,2,3,1,
"Trabajador familiar no remunerado (037)",107,13,51,18,20,5
"Trabajador del hogar (038)",5,,1,2,,2
"Mujeres (040)",498,13,138,206,123,18
"Empleado (041)",207,1,51,119,36,
"Obrero (042)",44,2,13,14,14,1
"Trabajador independiente (043)",103,1,18,40,34,10
"Empleador o patrono (044)",1,,1,,,
"Trabajador familiar no remunerado (045)",75,4,23,17,28,3
"Trabajador del hogar (046)",68,5,32,16,11,4
,,,,,,
"RURAL (048)",2586,102,881,797,587,219
"Empleado (049)",100,1,36,46,16,1
"Obrero (050)",360,12,140,115,75,18
"Trabajador independiente (051)",1571,18,400,537,437,179
"Empleador o patrono (052)",23,,6,9,5,3
"Trabajador familiar no remunerado (053)",500,68,287,83,46,16
"Trabajador del hogar (054)",32,3,12,7,8,2
"Hombres (056)",2284,91,773,695,529,196
"Empleado (057)",63,1,23,26,12,1
"Obrero (058)",325,12,124,101,70,18
"Trabajador independiente (059)",1471,16,373,501,414,167
"Empleador o patrono (060)",22,,5,9,5,3
"Trabajador familiar no remunerado (061)",395,61,244,58,25,7
"Trabajador del hogar (062)",8,1,4,,3,
"Mujeres (064)",302,11,108,102,58,23
"Empleado (065)",37,,13,20,4,
"Obrero (066)",35,,16,14,5,
"Trabajador independiente (067)",100,2,27,36,23,12
"Empleador o patrono (068)",1,,1,,,
"Trabajador familiar no remunerado (069)",105,7,43,25,21,9
"Trabajador del hogar (070)",24,2,8,7,5,2
