"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ISLAY (000)",14852,162,4540,4934,2141,760,333,93,15,,1874
"Conviviente (001)",4564,61,1706,1569,570,166,70,17,1,,404
"Separado(a) (002)",903,21,321,306,122,48,16,5,,,64
"Casado(a) (003)",6344,47,1787,2248,1070,372,175,45,9,,591
"Viudo(a) (004)",1152,20,402,369,139,70,34,16,4,,98
"Divorciado(a) (005)",145,,35,56,21,15,3,1,,,14
"Soltero(a) (006)",1744,13,289,386,219,89,35,9,1,,703
,,,,,,,,,,,
"URBANA (008)",13686,143,4126,4538,2015,704,312,87,14,,1747
"Conviviente (009)",4094,52,1501,1421,526,150,66,15,1,,362
"Separado(a) (010)",844,20,301,282,118,44,13,5,,,61
"Casado(a) (011)",5911,40,1645,2088,1015,348,166,43,8,,558
"Viudo(a) (012)",1074,18,377,338,133,64,32,15,4,,93
"Divorciado(a) (013)",130,,30,52,19,13,2,1,,,13
"Soltero(a) (014)",1633,13,272,357,204,85,33,8,1,,660
,,,,,,,,,,,
"RURAL (016)",1166,19,414,396,126,56,21,6,1,,127
"Conviviente (017)",470,9,205,148,44,16,4,2,,,42
"Separado(a) (018)",59,1,20,24,4,4,3,,,,3
"Casado(a) (019)",433,7,142,160,55,24,9,2,1,,33
"Viudo(a) (020)",78,2,25,31,6,6,2,1,,,5
"Divorciado(a) (021)",15,,5,4,2,2,1,,,,1
"Soltero(a) (022)",111,,17,29,15,4,2,1,,,43
