"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ZARUMILLA (000)",10677,119,4225,3219,973,345,161,39,3,,1593
"Conviviente (001)",4940,65,2182,1483,378,151,60,20,2,,599
"Separado(a) (002)",891,11,373,259,104,28,18,5,,,93
"Casado(a) (003)",3383,26,1323,1172,396,129,63,9,,,265
"Viudo(a) (004)",484,11,215,158,32,15,12,2,,,39
"Divorciado(a) (005)",37,2,11,14,4,1,1,1,,,3
"Soltero(a) (006)",942,4,121,133,59,21,7,2,1,,594
,,,,,,,,,,,
"URBANA (008)",9761,104,3815,2946,919,323,153,37,3,,1461
"Conviviente (009)",4520,57,1979,1362,357,141,57,18,2,,547
"Separado(a) (010)",840,11,353,237,100,27,17,5,,,90
"Casado(a) (011)",3045,22,1159,1068,373,123,60,9,,,231
"Viudo(a) (012)",439,8,198,142,29,13,11,2,,,36
"Divorciado(a) (013)",35,2,11,13,4,,1,1,,,3
"Soltero(a) (014)",882,4,115,124,56,19,7,2,1,,554
,,,,,,,,,,,
"RURAL (016)",916,15,410,273,54,22,8,2,,,132
"Conviviente (017)",420,8,203,121,21,10,3,2,,,52
"Separado(a) (018)",51,,20,22,4,1,1,,,,3
"Casado(a) (019)",338,4,164,104,23,6,3,,,,34
"Viudo(a) (020)",45,3,17,16,3,2,1,,,,3
"Divorciado(a) (021)",2,,,1,,1,,,,,
"Soltero(a) (022)",60,,6,9,3,2,,,,,40
