"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia MARAÑON (000)",22277,6913,6343,4404,3334,1283
"Sin nivel (001)",3420,208,413,800,1227,772
"Educación inicial (002)",494,474,10,10,,
"Primaria (003)",12653,5642,2605,2305,1647,454
"Secundaria (004)",4611,589,2907,776,299,40
"Superior no univ. incompleta (005)",170,,97,50,22,1
"Superior no univ. completa (006)",402,,113,218,64,7
"Superior univ. incompleta (007)",242,,141,78,20,3
"Superior univ. completa (008)",285,,57,167,55,6
"PEA (010)",6389,94,2107,2247,1556,385
"Sin nivel (011)",714,13,100,182,275,144
"Educación inicial (012)",8,,5,3,,
"Primaria (013)",3272,66,918,1137,940,211
"Secundaria (014)",1625,15,893,487,207,23
"Superior no univ. incompleta (015)",91,,30,41,20,
"Superior no univ. completa (016)",335,,83,196,55,1
"Superior univ. incompleta (017)",101,,31,51,17,2
"Superior univ. completa (018)",243,,47,150,42,4
"Ocupada (020)",6180,88,1992,2188,1531,381
"Sin nivel (021)",693,12,94,173,272,142
"Educación inicial (022)",8,,5,3,,
"Primaria (023)",3156,62,861,1101,923,209
"Secundaria (024)",1569,14,851,478,203,23
"Superior no univ. incompleta (025)",90,,30,41,19,
"Superior no univ. completa (026)",325,,77,192,55,1
"Superior univ. incompleta (027)",97,,27,51,17,2
"Superior univ. completa (028)",242,,47,149,42,4
"Desocupada (030)",209,6,115,59,25,4
"Sin nivel (031)",21,1,6,9,3,2
"Primaria (033)",116,4,57,36,17,2
