"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",53952,11112,1190,26415,9662,1540,2308,500,1225
"Quechua (001)",119,4,,25,31,10,26,4,19
"Aymara (002)",72,6,4,2,29,9,17,4,1
"Ashaninca (003)",4,,,3,1,,,,
"Otra lengua nativa (004)",19,2,1,7,8,1,,,
"Castellano (005)",53686,11054,1185,26374,9592,1520,2264,492,1205
"Idioma extranjero (006)",1,,,,,,1,,
"Es sordomudo/a (007)",51,46,,4,1,,,,
"Hombres (009)",27559,3912,587,13565,5883,926,1568,325,793
"Quechua (010)",102,4,,17,27,8,26,4,16
"Aymara (011)",63,3,2,1,27,9,17,4,
"Ashaninca (012)",3,,,2,1,,,,
"Otra lengua nativa (013)",10,,1,5,4,,,,
"Castellano (014)",27353,3881,584,13538,5823,909,1524,317,777
"Idioma extranjero (015)",1,,,,,,1,,
"Es sordomudo/a (016)",27,24,,2,1,,,,
"Mujeres (018)",26393,7200,603,12850,3779,614,740,175,432
"Quechua (019)",17,,,8,4,2,,,3
"Aymara (020)",9,3,2,1,2,,,,1
"Ashaninca (021)",1,,,1,,,,,
"Otra lengua nativa (022)",9,2,,2,4,1,,,
"Castellano (023)",26333,7173,601,12836,3769,611,740,175,428
"Es sordomudo/a (025)",24,22,,2,,,,,
,,,,,,,,,
"URBANA (027)",18605,2777,515,6869,4861,1040,1419,318,806
"Quechua (028)",35,2,,14,9,1,3,1,5
"Aymara (029)",10,,1,,5,,3,,1
"Ashaninca (030)",2,,,2,,,,,
"Otra lengua nativa (031)",19,2,1,7,8,1,,,
"Castellano (032)",18527,2763,513,6844,4839,1038,1413,317,800
"Es sordomudo/a (034)",12,10,,2,,,,,
"Hombres (036)",8881,878,260,3210,2619,529,782,167,436
"Quechua (037)",23,2,,8,6,,3,1,3
"Aymara (038)",7,,,,4,,3,,
"Ashaninca (039)",2,,,2,,,,,
"Otra lengua nativa (040)",10,,1,5,4,,,,
"Castellano (041)",8832,869,259,3195,2605,529,776,166,433
"Es sordomudo/a (043)",7,7,,,,,,,
"Mujeres (045)",9724,1899,255,3659,2242,511,637,151,370
"Quechua (046)",12,,,6,3,1,,,2
"Aymara (047)",3,,1,,1,,,,1
"Otra lengua nativa (049)",9,2,,2,4,1,,,
"Castellano (050)",9695,1894,254,3649,2234,509,637,151,367
"Es sordomudo/a (052)",5,3,,2,,,,,
,,,,,,,,,
"RURAL (054)",35347,8335,675,19546,4801,500,889,182,419
"Quechua (055)",84,2,,11,22,9,23,3,14
"Aymara (056)",62,6,3,2,24,9,14,4,
"Ashaninca (057)",2,,,1,1,,,,
"Castellano (059)",35159,8291,672,19530,4753,482,851,175,405
"Idioma extranjero (060)",1,,,,,,1,,
"Es sordomudo/a (061)",39,36,,2,1,,,,
"Hombres (063)",18678,3034,327,10355,3264,397,786,158,357
"Quechua (064)",79,2,,9,21,8,23,3,13
"Aymara (065)",56,3,2,1,23,9,14,4,
"Ashaninca (066)",1,,,,1,,,,
"Castellano (068)",18521,3012,325,10343,3218,380,748,151,344
"Idioma extranjero (069)",1,,,,,,1,,
"Es sordomudo/a (070)",20,17,,2,1,,,,
"Mujeres (072)",16669,5301,348,9191,1537,103,103,24,62
"Quechua (073)",5,,,2,1,1,,,1
"Aymara (074)",6,3,1,1,1,,,,
"Ashaninca (075)",1,,,1,,,,,
"Castellano (077)",16638,5279,347,9187,1535,102,103,24,61
"Es sordomudo/a (079)",19,19,,,,,,,
