"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia LUYA (000)",15628,1449,1963,8401,666,2651,498
"Conviviente (001)",3936,400,531,2342,250,309,104
"Separado(a) (002)",258,39,41,130,16,15,17
"Casado(a) (003)",6233,601,543,4137,283,498,171
"Viudo(a) (004)",477,12,58,315,17,44,31
"Divorciado(a) (005)",39,4,1,21,5,5,3
"Soltero(a) (006)",4685,393,789,1456,95,1780,172
"Hombres (008)",12578,753,1693,7392,625,2097,18
"Conviviente (009)",3187,218,470,2102,238,157,2
"Separado(a) (010)",147,16,28,86,11,5,1
"Casado(a) (011)",5073,341,456,3741,269,264,2
"Viudo(a) (012)",263,5,23,205,11,19,
"Divorciado(a) (013)",26,1,1,17,5,2,
"Soltero(a) (014)",3882,172,715,1241,91,1650,13
"Mujeres (016)",3050,696,270,1009,41,554,480
"Conviviente (017)",749,182,61,240,12,152,102
"Separado(a) (018)",111,23,13,44,5,10,16
"Casado(a) (019)",1160,260,87,396,14,234,169
"Viudo(a) (020)",214,7,35,110,6,25,31
"Divorciado(a) (021)",13,3,,4,,3,3
"Soltero(a) (022)",803,221,74,215,4,130,159
,,,,,,,
"URBANA (024)",6734,1045,896,3438,286,812,257
"Conviviente (025)",1603,260,228,883,82,108,42
"Separado(a) (026)",120,29,15,55,5,6,10
"Casado(a) (027)",2938,458,273,1776,148,197,86
"Viudo(a) (028)",210,10,30,131,6,20,13
"Divorciado(a) (029)",25,4,1,13,3,2,2
"Soltero(a) (030)",1838,284,349,580,42,479,104
"Hombres (032)",4929,535,762,2842,262,521,7
"Conviviente (033)",1216,148,202,759,76,31,
"Separado(a) (034)",58,13,8,33,3,1,
"Casado(a) (035)",2216,254,226,1531,138,66,1
"Viudo(a) (036)",89,5,11,64,3,6,
"Divorciado(a) (037)",14,1,1,9,3,,
"Soltero(a) (038)",1336,114,314,446,39,417,6
"Mujeres (040)",1805,510,134,596,24,291,250
"Conviviente (041)",387,112,26,124,6,77,42
"Separado(a) (042)",62,16,7,22,2,5,10
"Casado(a) (043)",722,204,47,245,10,131,85
"Viudo(a) (044)",121,5,19,67,3,14,13
"Divorciado(a) (045)",11,3,,4,,2,2
"Soltero(a) (046)",502,170,35,134,3,62,98
,,,,,,,
"RURAL (048)",8894,404,1067,4963,380,1839,241
"Conviviente (049)",2333,140,303,1459,168,201,62
"Separado(a) (050)",138,10,26,75,11,9,7
"Casado(a) (051)",3295,143,270,2361,135,301,85
"Viudo(a) (052)",267,2,28,184,11,24,18
"Divorciado(a) (053)",14,,,8,2,3,1
"Soltero(a) (054)",2847,109,440,876,53,1301,68
"Hombres (056)",7649,218,931,4550,363,1576,11
"Conviviente (057)",1971,70,268,1343,162,126,2
"Separado(a) (058)",89,3,20,53,8,4,1
"Casado(a) (059)",2857,87,230,2210,131,198,1
"Viudo(a) (060)",174,,12,141,8,13,
"Divorciado(a) (061)",12,,,8,2,2,
"Soltero(a) (062)",2546,58,401,795,52,1233,7
"Mujeres (064)",1245,186,136,413,17,263,230
"Conviviente (065)",362,70,35,116,6,75,60
"Separado(a) (066)",49,7,6,22,3,5,6
"Casado(a) (067)",438,56,40,151,4,103,84
"Viudo(a) (068)",93,2,16,43,3,11,18
"Divorciado(a) (069)",2,,,,,1,1
"Soltero(a) (070)",301,51,39,81,1,68,61
