"CUADRO Nº 23: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia PATAZ (000)",22552,3374,6260,10313,247,1929,429
"Agric., ganadería, caza y silvicultura (001)",9939,20,652,7559,91,1617,
"Pesca (002)",8,,3,5,,,
"Explotación de minas y canteras (003)",5283,788,3807,590,79,19,
"Industrias manufactureras (004)",538,43,159,310,8,18,
"Suministro de electricidad, gas y agua (005)",56,14,42,,,,
"Construcción (006)",955,30,730,151,18,26,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1232,171,64,864,24,109,
"Venta, mant.y rep. veh.autom.y motoc. (008)",86,18,37,24,6,1,
"Comercio al por mayor (009)",89,23,1,56,2,7,
"Comercio al por menor (010)",1057,130,26,784,16,101,
"Hoteles y restaurantes (011)",468,90,126,228,8,16,
"Trans., almac. y comunicaciones (012)",508,129,241,128,4,6,
"Intermediación financiera (013)",6,6,,,,,
"Activid.inmobil., empres. y alquileres (014)",330,272,29,25,3,1,
"Admin.pub. y defensa; p. segur.soc.afil (015)",451,370,81,,,,
"Enseñanza (016)",1167,1122,2,40,,3,
"Servicios sociales y de salud (017)",134,115,5,14,,,
"Otras activ. serv.comun.soc y personales (018)",224,91,44,85,1,3,
"Hogares privados con servicio doméstico (019)",429,,,,,,429
"Actividad economica no especificada (021)",824,113,275,314,11,111,
"Hombres (022)",19156,2285,6045,9062,212,1513,39
"Agric., ganadería, caza y silvicultura (023)",9324,18,603,7225,88,1390,
"Pesca (024)",8,,3,5,,,
"Explotación de minas y canteras (025)",5189,734,3779,582,75,19,
"Industrias manufactureras (026)",461,28,148,260,8,17,
"Suministro de electricidad, gas y agua (027)",54,12,42,,,,
"Construcción (028)",947,29,726,150,17,25,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",689,101,64,485,11,28,
"Venta, mant.y rep. veh.autom.y motoc. (030)",84,18,37,22,6,1,
"Comercio al por mayor (031)",54,15,1,35,,3,
"Comercio al por menor (032)",551,68,26,428,5,24,
"Hoteles y restaurantes (033)",141,19,78,39,1,4,
"Trans., almac. y comunicaciones (034)",484,113,235,126,4,6,
"Intermediación financiera (035)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (036)",248,202,21,21,3,1,
"Admin.pub. y defensa; p. segur.soc.afil (037)",348,273,75,,,,
"Enseñanza (038)",598,576,2,19,,1,
"Servicios sociales y de salud (039)",61,45,4,12,,,
"Otras activ. serv.comun.soc y personales (040)",113,58,28,27,,,
"Hogares privados con servicio doméstico (041)",39,,,,,,39
"Actividad economica no especificada (043)",450,75,237,111,5,22,
"Mujeres (044)",3396,1089,215,1251,35,416,390
"Agric., ganadería, caza y silvicultura (045)",615,2,49,334,3,227,
"Explotación de minas y canteras (047)",94,54,28,8,4,,
"Industrias manufactureras (048)",77,15,11,50,,1,
"Suministro de electricidad, gas y agua (049)",2,2,,,,,
"Construcción (050)",8,1,4,1,1,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",543,70,,379,13,81,
"Venta, mant.y rep. veh.autom.y motoc. (052)",2,,,2,,,
"Comercio al por mayor (053)",35,8,,21,2,4,
"Comercio al por menor (054)",506,62,,356,11,77,
"Hoteles y restaurantes (055)",327,71,48,189,7,12,
"Trans., almac. y comunicaciones (056)",24,16,6,2,,,
"Intermediación financiera (057)",4,4,,,,,
"Activid.inmobil., empres. y alquileres (058)",82,70,8,4,,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",103,97,6,,,,
"Enseñanza (060)",569,546,,21,,2,
"Servicios sociales y de salud (061)",73,70,1,2,,,
"Otras activ. serv.comun.soc y personales (062)",111,33,16,58,1,3,
"Hogares privados con servicio doméstico (063)",390,,,,,,390
"Actividad economica no especificada (065)",374,38,38,203,6,89,
,,,,,,,
"URBANA (066)",7062,1960,2348,2137,106,279,232
"Agric., ganadería, caza y silvicultura (067)",934,5,113,687,13,116,
"Pesca (068)",1,,,1,,,
"Explotación de minas y canteras (069)",2240,354,1573,262,40,11,
"Industrias manufactureras (070)",223,17,66,127,7,6,
"Suministro de electricidad, gas y agua (071)",16,6,10,,,,
"Construcción (072)",373,20,275,60,10,8,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",816,100,24,592,21,79,
"Venta, mant.y rep. veh.autom.y motoc. (074)",37,1,18,15,3,,
"Comercio al por mayor (075)",66,20,,39,2,5,
"Comercio al por menor (076)",713,79,6,538,16,74,
"Hoteles y restaurantes (077)",252,57,29,150,6,10,
"Trans., almac. y comunicaciones (078)",232,66,79,83,2,2,
"Intermediación financiera (079)",3,3,,,,,
"Activid.inmobil., empres. y alquileres (080)",155,120,13,18,3,1,
"Admin.pub. y defensa; p. segur.soc.afil (081)",309,276,33,,,,
"Enseñanza (082)",744,722,1,19,,2,
"Servicios sociales y de salud (083)",90,82,2,6,,,
"Otras activ. serv.comun.soc y personales (084)",148,65,28,54,1,,
"Hogares privados con servicio doméstico (085)",232,,,,,,232
"Actividad economica no especificada (087)",294,67,102,78,3,44,
"Hombres (088)",5299,1219,2249,1560,82,164,25
"Agric., ganadería, caza y silvicultura (089)",879,3,106,654,12,104,
"Pesca (090)",1,,,1,,,
"Explotación de minas y canteras (091)",2197,327,1562,259,38,11,
"Industrias manufactureras (092)",179,10,57,99,7,6,
"Suministro de electricidad, gas y agua (093)",16,6,10,,,,
"Construcción (094)",365,19,271,59,9,7,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",416,49,24,318,8,17,
"Venta, mant.y rep. veh.autom.y motoc. (096)",35,1,18,13,3,,
"Comercio al por mayor (097)",38,13,,24,,1,
"Comercio al por menor (098)",343,35,6,281,5,16,
"Hoteles y restaurantes (099)",38,8,3,24,1,2,
"Trans., almac. y comunicaciones (100)",214,55,73,82,2,2,
"Intermediación financiera (101)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (102)",103,74,10,15,3,1,
"Admin.pub. y defensa; p. segur.soc.afil (103)",225,197,28,,,,
"Enseñanza (104)",381,369,1,10,,1,
"Servicios sociales y de salud (105)",36,29,2,5,,,
"Otras activ. serv.comun.soc y personales (106)",66,36,19,11,,,
"Hogares privados con servicio doméstico (107)",25,,,,,,25
"Actividad economica no especificada (109)",156,35,83,23,2,13,
"Mujeres (110)",1763,741,99,577,24,115,207
"Agric., ganadería, caza y silvicultura (111)",55,2,7,33,1,12,
"Explotación de minas y canteras (113)",43,27,11,3,2,,
"Industrias manufactureras (114)",44,7,9,28,,,
"Construcción (116)",8,1,4,1,1,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",400,51,,274,13,62,
"Venta, mant.y rep. veh.autom.y motoc. (118)",2,,,2,,,
"Comercio al por mayor (119)",28,7,,15,2,4,
"Comercio al por menor (120)",370,44,,257,11,58,
"Hoteles y restaurantes (121)",214,49,26,126,5,8,
"Trans., almac. y comunicaciones (122)",18,11,6,1,,,
"Intermediación financiera (123)",1,1,,,,,
