"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia HUANCANE (000)",27804,27133,8343,2731,2933,2718,4576,3282,2550,671
"Católica (001)",22029,21465,6701,2210,2379,2175,3577,2522,1901,564
"Cristiana/Evangélica (002)",1466,1434,446,142,136,135,233,184,158,32
"Otra (003)",2796,2749,740,228,262,248,507,403,361,47
"Ninguna (004)",1513,1485,456,151,156,160,259,173,130,28
,,,,,,,,,,
"URBANA (006)",5387,5130,1764,729,740,575,708,377,237,257
"Católica (007)",4583,4353,1484,610,647,500,610,305,197,230
"Cristiana/Evangélica (008)",233,221,83,33,27,21,32,14,11,12
"Otra (009)",421,413,152,63,43,34,56,42,23,8
"Ninguna (010)",150,143,45,23,23,20,10,16,6,7
,,,,,,,,,,
"RURAL (012)",22417,22003,6579,2002,2193,2143,3868,2905,2313,414
"Católica (013)",17446,17112,5217,1600,1732,1675,2967,2217,1704,334
"Cristiana/Evangélica (014)",1233,1213,363,109,109,114,201,170,147,20
"Otra (015)",2375,2336,588,165,219,214,451,361,338,39
"Ninguna (016)",1363,1342,411,128,133,140,249,157,124,21
