"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia LA MAR (000)",19802,342,8962,5835,1621,545,260,105,15,,2117
"Sin Nivel (001)",7599,131,2954,2428,778,318,149,76,12,,753
"Educación Inicial (002)",47,1,24,16,1,1,,,,,4
"Primaria (003)",8049,170,4279,2145,471,124,78,20,3,,759
"Secundaria (004)",3211,34,1558,940,174,38,19,4,,,444
"Sup. no Univ. Incompleta (005)",217,1,58,73,37,8,,,,,40
"Sup. no Univ. Completa (006)",375,1,50,143,96,30,7,2,,,46
"Sup. Univ. Incompleta (007)",84,1,11,29,14,3,,,,,26
"Sup. Univ. Completa (008)",220,3,28,61,50,23,7,3,,,45
,,,,,,,,,,,
"URBANA (010)",8201,161,3483,2341,724,270,142,56,8,,1016
"Sin Nivel (011)",2471,58,926,687,249,128,68,39,7,,309
"Educación Inicial (012)",24,,13,7,,1,,,,,3
"Primaria (013)",3138,80,1551,845,217,71,45,10,1,,318
"Secundaria (014)",1854,19,876,549,107,25,17,4,,,257
"Sup. no Univ. Incompleta (015)",168,,41,61,27,5,,,,,34
"Sup. no Univ. Completa (016)",305,1,41,119,76,23,5,1,,,39
"Sup. Univ. Incompleta (017)",70,,11,29,7,3,,,,,20
"Sup. Univ. Completa (018)",171,3,24,44,41,14,7,2,,,36
,,,,,,,,,,,
"RURAL (020)",11601,181,5479,3494,897,275,118,49,7,,1101
"Sin Nivel (021)",5128,73,2028,1741,529,190,81,37,5,,444
"Educación Inicial (022)",23,1,11,9,1,,,,,,1
"Primaria (023)",4911,90,2728,1300,254,53,33,10,2,,441
"Secundaria (024)",1357,15,682,391,67,13,2,,,,187
"Sup. no Univ. Incompleta (025)",49,1,17,12,10,3,,,,,6
"Sup. no Univ. Completa (026)",70,,9,24,20,7,2,1,,,7
"Sup. Univ. Incompleta (027)",14,1,,,7,,,,,,6
"Sup. Univ. Completa (028)",49,,4,17,9,9,,1,,,9
