"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",16360,124,6626,5984,3009,617
"Agric., ganadería, caza y silvicultura (001)",3588,51,963,1063,1075,436
"Explotación de minas y canteras (003)",7823,23,3710,3025,1018,47
"Industrias manufactureras (004)",341,2,130,120,75,14
"Suministro de electricidad, gas y agua (005)",12,,6,3,3,
"Construcción (006)",550,2,169,233,133,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1871,26,699,758,341,47
"Venta, mant.y rep. veh.autom.y motoc. (008)",71,,32,21,18,
"Comercio al por mayor (009)",59,,20,22,14,3
"Comercio al por menor (010)",1741,26,647,715,309,44
"Hoteles y restaurantes (011)",471,10,255,132,69,5
"Trans., almac. y comunicaciones (012)",191,2,75,76,31,7
"Intermediación financiera (013)",19,,11,5,3,
"Activid.inmobil., empres. y alquileres (014)",91,,28,41,20,2
"Admin.pub. y defensa; p. segur.soc.afil (015)",162,,66,64,28,4
"Enseñanza (016)",337,,66,174,94,3
"Servicios sociales y de salud (017)",83,,33,31,17,2
"Otras activ. serv.comun.soc y personales (018)",117,2,61,31,17,6
"Hogares privados con servicio doméstico (019)",181,4,122,36,15,4
"Actividad economica no especificada (021)",523,2,232,192,70,27
"Hombres (022)",12036,62,4831,4495,2205,443
"Agric., ganadería, caza y silvicultura (023)",2414,22,604,733,744,311
"Explotación de minas y canteras (025)",6970,19,3337,2704,872,38
"Industrias manufactureras (026)",228,1,89,77,52,9
"Suministro de electricidad, gas y agua (027)",9,,5,2,2,
"Construcción (028)",540,2,162,230,133,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",661,10,196,272,153,30
"Venta, mant.y rep. veh.autom.y motoc. (030)",63,,27,21,15,
"Comercio al por mayor (031)",27,,7,10,9,1
"Comercio al por menor (032)",571,10,162,241,129,29
"Hoteles y restaurantes (033)",144,4,73,43,22,2
"Trans., almac. y comunicaciones (034)",164,,57,70,30,7
"Intermediación financiera (035)",12,,8,2,2,
"Activid.inmobil., empres. y alquileres (036)",80,,26,36,16,2
"Admin.pub. y defensa; p. segur.soc.afil (037)",132,,46,57,25,4
"Enseñanza (038)",243,,38,120,82,3
"Servicios sociales y de salud (039)",35,,9,12,12,2
"Otras activ. serv.comun.soc y personales (040)",55,2,23,16,10,4
"Hogares privados con servicio doméstico (041)",39,1,22,7,7,2
