"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUARI (000)",15743,9704,1886,1887,2266
"Sin nivel (001)",1836,1601,133,61,41
"Educación inicial (002)",15,14,1,,
"Primaria (003)",4516,3623,397,292,204
"Secundaria (004)",4349,2672,540,498,639
"Superior no univ. incompleta (005)",980,421,125,139,295
"Superior no univ. completa (006)",2393,887,420,487,599
"Superior univ. incompleta (007)",426,120,66,100,140
"Superior univ. completa (008)",1228,366,204,310,348
"De 06 a 14 años (010)",101,92,6,3,
"Sin nivel (011)",4,4,,,
"Educación inicial (012)",2,2,,,
"Primaria (013)",66,59,5,2,
"Secundaria (014)",29,27,1,1,
"De 15 a 29 años (020)",4832,2817,597,615,803
"Sin nivel (021)",149,125,11,9,4
"Educación inicial (022)",9,8,1,,
"Primaria (023)",850,664,84,63,39
"Secundaria (024)",2165,1347,265,235,318
"Superior no univ. incompleta (025)",465,234,60,63,108
"Superior no univ. completa (026)",769,304,106,147,212
"Superior univ. incompleta (027)",137,50,24,31,32
"Superior univ. completa (028)",288,85,46,67,90
"De 30 a 44 años (030)",5699,3025,775,866,1033
"Sin nivel (031)",502,425,40,20,17
"Educación inicial (032)",4,4,,,
"Primaria (033)",1355,1048,127,107,73
"Secundaria (034)",1423,839,180,185,219
"Superior no univ. incompleta (035)",384,115,51,65,153
"Superior no univ. completa (036)",1196,388,247,263,298
"Superior univ. incompleta (037)",207,47,31,49,80
"Superior univ. completa (038)",628,159,99,177,193
"De 45 a 64 años (040)",3842,2643,437,356,406
"Sin nivel (041)",737,654,54,19,10
"Primaria (043)",1559,1240,145,91,83
"Secundaria (044)",659,396,90,74,99
"Superior no univ. incompleta (045)",120,61,14,11,34
"Superior no univ. completa (046)",388,159,65,76,88
"Superior univ. incompleta (047)",81,22,11,20,28
"Superior univ. completa (048)",298,111,58,65,64
"De 65 y más años (050)",1269,1127,71,47,24
"Sin nivel (051)",444,393,28,13,10
"Primaria (053)",686,612,36,29,9
"Secundaria (054)",73,63,4,3,3
"Superior no univ. incompleta (055)",11,11,,,
"Superior no univ. completa (056)",40,36,2,1,1
"Superior univ. incompleta (057)",1,1,,,
"Superior univ. completa (058)",14,11,1,1,1
,,,,,
"URBANA (060)",6208,3805,955,781,667
