"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia JORGE BASADRE (000)",9872,922,2970,1417,4692
"Menos de 1 año (001)",130,36,33,9,52
"De 1 a 14 años (002)",1998,485,521,192,826
"De 15 a 29 años (003)",2827,175,635,601,1434
"De 30 a 44 años (004)",2548,124,970,323,1174
"De 45 a 64 años (005)",1892,75,725,263,868
"De 65 y mas años (006)",477,27,86,29,338
"Hombres (008)",5920,472,1949,1056,2532
"Menos de 1 año (009)",65,16,16,3,30
"De 1 a 14 años (010)",1018,243,271,99,422
"De 15 a 29 años (011)",1758,82,414,511,761
"De 30 a 44 años (012)",1568,69,656,228,649
"De 45 a 64 años (013)",1244,49,536,195,490
"De 65 y mas años (014)",267,13,56,20,180
"Mujeres (016)",3952,450,1021,361,2160
"Menos de 1 año (017)",65,20,17,6,22
"De 1 a 14 años (018)",980,242,250,93,404
"De 15 a 29 años (019)",1069,93,221,90,673
"De 30 a 44 años (020)",980,55,314,95,525
"De 45 a 64 años (021)",648,26,189,68,378
"De 65 y mas años (022)",210,14,30,9,158
,,,,,
"URBANA (024)",6202,468,2434,1231,2192
"Menos de 1 año (025)",88,22,26,9,31
"De 1 a 14 años (026)",1186,192,446,180,394
"De 15 a 29 años (027)",1891,102,498,550,758
"De 30 a 44 años (028)",1649,82,805,260,542
"De 45 a 64 años (029)",1199,45,600,213,378
"De 65 y mas años (030)",189,25,59,19,89
"Hombres (032)",3835,254,1583,916,1165
"Menos de 1 año (033)",44,11,14,3,16
"De 1 a 14 años (034)",609,101,227,92,206
"De 15 a 29 años (035)",1220,52,323,469,385
"De 30 a 44 años (036)",1035,50,532,178,306
"De 45 a 64 años (037)",823,28,447,162,210
"De 65 y mas años (038)",104,12,40,12,42
"Mujeres (040)",2367,214,851,315,1027
"Menos de 1 año (041)",44,11,12,6,15
"De 1 a 14 años (042)",577,91,219,88,188
"De 15 a 29 años (043)",671,50,175,81,373
"De 30 a 44 años (044)",614,32,273,82,236
"De 45 a 64 años (045)",376,17,153,51,168
"De 65 y mas años (046)",85,13,19,7,47
,,,,,
"RURAL (048)",3670,454,536,186,2500
"Menos de 1 año (049)",42,14,7,,21
"De 1 a 14 años (050)",812,293,75,12,432
"De 15 a 29 años (051)",936,73,137,51,676
"De 30 a 44 años (052)",899,42,165,63,632
"De 45 a 64 años (053)",693,30,125,50,490
"De 65 y mas años (054)",288,2,27,10,249
"Hombres (056)",2085,218,366,140,1367
"Menos de 1 año (057)",21,5,2,,14
"De 1 a 14 años (058)",409,142,44,7,216
"De 15 a 29 años (059)",538,30,91,42,376
"De 30 a 44 años (060)",533,19,124,50,343
"De 45 a 64 años (061)",421,21,89,33,280
"De 65 y mas años (062)",163,1,16,8,138
"Mujeres (064)",1585,236,170,46,1133
"Menos de 1 año (065)",21,9,5,,7
"De 1 a 14 años (066)",403,151,31,5,216
"De 15 a 29 años (067)",398,43,46,9,300
"De 30 a 44 años (068)",366,23,41,13,289
"De 45 a 64 años (069)",272,9,36,17,210
"De 65 y mas años (070)",125,1,11,2,111
