"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PUNO (000)",213842,26593,5193,64019,66398,7822,11313,12700,19804
"Jefe o Jefa (001)",67603,7702,20,18655,20454,2394,5087,3670,9621
"Esposa(o)/ compa¤era(o) (002)",36967,5923,21,11873,10498,1093,2543,1196,3820
"Hijo(a)/ hijastro(a) (003)",85465,9193,4314,27235,28287,3239,2484,6156,4557
"Yerno/ nuera (004)",2778,21,4,304,1211,167,354,218,499
"Nieto(a) (005)",5990,1395,582,2389,1214,95,48,193,74
"Padres/ suegros (006)",2358,1252,,716,250,13,47,11,69
"Otro(a) pariente (007)",10019,951,230,2365,3477,596,564,981,855
"Trabajador(a) del hogar (008)",361,20,,76,218,24,11,7,5
"Pensionista (009)",108,5,,5,36,21,11,20,10
"Otro(a) no pariente (010)",2193,131,22,401,753,180,164,248,294
"Hombres (012)",104582,8694,2614,29936,35476,4027,5560,7294,10981
"Jefe o Jefa (013)",46511,2630,10,12890,15584,1686,3612,2677,7422
"Esposa(o)/ compa¤era(o) (014)",2152,98,,352,837,124,201,183,357
"Hijo(a)/ hijastro(a) (015)",44530,4647,2163,13742,15419,1689,1161,3491,2218
"Yerno/ nuera (016)",1316,4,3,76,548,74,185,128,298
"Nieto(a) (017)",3119,728,304,1211,657,55,22,106,36
"Padres/ suegros (018)",646,189,,300,94,5,18,6,34
"Otro(a) pariente (019)",5157,350,125,1189,1907,296,283,557,450
"Trabajador(a) del hogar (020)",26,3,,3,14,,1,3,2
"Pensionista (021)",58,1,,2,19,12,8,8,8
"Otro(a) no pariente (022)",1067,44,9,171,397,86,69,135,156
"Mujeres (024)",109260,17899,2579,34083,30922,3795,5753,5406,8823
"Jefe o Jefa (025)",21092,5072,10,5765,4870,708,1475,993,2199
"Esposa(o)/ compa¤era(o) (026)",34815,5825,21,11521,9661,969,2342,1013,3463
"Hijo(a)/ hijastro(a) (027)",40935,4546,2151,13493,12868,1550,1323,2665,2339
"Yerno/ nuera (028)",1462,17,1,228,663,93,169,90,201
"Nieto(a) (029)",2871,667,278,1178,557,40,26,87,38
"Padres/ suegros (030)",1712,1063,,416,156,8,29,5,35
"Otro(a) pariente (031)",4862,601,105,1176,1570,300,281,424,405
"Trabajador(a) del hogar (032)",335,17,,73,204,24,10,4,3
"Pensionista (033)",50,4,,3,17,9,3,12,2
"Otro(a) no pariente (034)",1126,87,13,230,356,94,95,113,138
,,,,,,,,,
"URBANA (036)",126345,9667,3331,28135,38184,6251,9989,11853,18935
"Jefe o Jefa (037)",38031,1723,10,5959,11242,1989,4484,3443,9181
"Esposa(o)/ compa¤era(o) (038)",20212,1203,11,4226,6438,996,2436,1148,3754
"Hijo(a)/ hijastro(a) (039)",51175,4765,2720,14119,15378,2293,1977,5663,4260
"Yerno/ nuera (040)",1804,3,3,74,606,138,312,197,471
"Nieto(a) (041)",3650,812,410,1394,690,61,36,177,70
"Padres/ suegros (042)",1549,622,,548,243,12,45,11,68
