"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHACHAPOYAS (000)",18809,14116,1172,666,2855
"Hombres (001)",12213,9379,819,431,1584
"Mujeres (002)",6596,4737,353,235,1271
"De 06 a 14 años (003)",387,373,13,1,
"Hombres (004)",272,260,11,1,
"Mujeres (005)",115,113,2,,
"De 15 a 29 años (006)",5755,4521,450,175,609
"Hombres (007)",3799,3061,300,118,320
"Mujeres (008)",1956,1460,150,57,289
"De 30 a 44 años (009)",6864,4582,465,334,1483
"Hombres (010)",4294,2991,330,203,770
"Mujeres (011)",2570,1591,135,131,713
"De 45 a 64 años (012)",4576,3485,215,148,728
"Hombres (013)",3008,2285,156,102,465
"Mujeres (014)",1568,1200,59,46,263
"De 65 y más años (015)",1227,1155,29,8,35
"Hombres (016)",840,782,22,7,29
"Mujeres (017)",387,373,7,1,6
,,,,,
"URBANA (018)",13012,8725,961,635,2691
"Hombres (019)",7806,5246,665,407,1488
"Mujeres (020)",5206,3479,296,228,1203
"De 06 a 14 años (021)",192,183,8,1,
"Hombres (022)",117,110,6,1,
"Mujeres (023)",75,73,2,,
"De 15 a 29 años (024)",3846,2756,362,166,562
"Hombres (025)",2301,1661,236,110,294
"Mujeres (026)",1545,1095,126,56,268
"De 30 a 44 años (027)",5084,2981,392,320,1391
"Hombres (028)",2964,1776,277,193,718
"Mujeres (029)",2120,1205,115,127,673
"De 45 a 64 años (030)",3181,2160,177,140,704
"Hombres (031)",1974,1301,129,96,448
"Mujeres (032)",1207,859,48,44,256
"De 65 y más años (033)",709,645,22,8,34
"Hombres (034)",450,398,17,7,28
"Mujeres (035)",259,247,5,1,6
,,,,,
"RURAL (036)",5797,5391,211,31,164
"Hombres (037)",4407,4133,154,24,96
"Mujeres (038)",1390,1258,57,7,68
"De 06 a 14 años (039)",195,190,5,,
"Hombres (040)",155,150,5,,
"Mujeres (041)",40,40,,,
"De 15 a 29 años (042)",1909,1765,88,9,47
"Hombres (043)",1498,1400,64,8,26
"Mujeres (044)",411,365,24,1,21
"De 30 a 44 años (045)",1780,1601,73,14,92
"Hombres (046)",1330,1215,53,10,52
"Mujeres (047)",450,386,20,4,40
"De 45 a 64 años (048)",1395,1325,38,8,24
"Hombres (049)",1034,984,27,6,17
"Mujeres (050)",361,341,11,2,7
"De 65 y más años (051)",518,510,7,,1
"Hombres (052)",390,384,5,,1
"Mujeres (053)",128,126,2,,
