"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia COTABAMBAS (000)",7522,144,2089,2860,1849,580
"Empleado (001)",1476,6,438,754,266,12
"Obrero (002)",1373,8,474,519,305,67
"Trabajador independiente (003)",3033,13,678,1108,886,348
"Empleador o patrono (004)",38,,14,11,10,3
"Trabajador familiar no remunerado (005)",1447,102,418,429,359,139
"Trabajador del hogar (006)",155,15,67,39,23,11
"Hombres (008)",5534,81,1456,2091,1451,455
"Empleado (009)",965,2,257,490,206,10
"Obrero (010)",1244,7,419,481,276,61
"Trabajador independiente (011)",2355,9,501,849,720,276
"Empleador o patrono (012)",23,,9,6,6,2
"Trabajador familiar no remunerado (013)",928,62,263,260,240,103
"Trabajador del hogar (014)",19,1,7,5,3,3
"Mujeres (016)",1988,63,633,769,398,125
"Empleado (017)",511,4,181,264,60,2
"Obrero (018)",129,1,55,38,29,6
"Trabajador independiente (019)",678,4,177,259,166,72
"Empleador o patrono (020)",15,,5,5,4,1
"Trabajador familiar no remunerado (021)",519,40,155,169,119,36
"Trabajador del hogar (022)",136,14,60,34,20,8
,,,,,,
"URBANA (024)",3456,59,964,1497,767,169
"Empleado (025)",1245,5,345,662,222,11
"Obrero (026)",716,5,233,308,142,28
"Trabajador independiente (027)",1057,11,240,412,293,101
"Empleador o patrono (028)",22,,6,6,8,2
"Trabajador familiar no remunerado (029)",345,24,98,99,97,27
"Trabajador del hogar (030)",71,14,42,10,5,
"Hombres (032)",2348,29,614,1017,569,119
"Empleado (033)",804,2,195,429,169,9
"Obrero (034)",657,4,210,289,129,25
"Trabajador independiente (035)",666,7,143,241,209,66
"Empleador o patrono (036)",16,,5,4,6,1
"Trabajador familiar no remunerado (037)",192,15,55,50,54,18
"Trabajador del hogar (038)",13,1,6,4,2,
"Mujeres (040)",1108,30,350,480,198,50
"Empleado (041)",441,3,150,233,53,2
"Obrero (042)",59,1,23,19,13,3
"Trabajador independiente (043)",391,4,97,171,84,35
"Empleador o patrono (044)",6,,1,2,2,1
"Trabajador familiar no remunerado (045)",153,9,43,49,43,9
"Trabajador del hogar (046)",58,13,36,6,3,
,,,,,,
"RURAL (048)",4066,85,1125,1363,1082,411
"Empleado (049)",231,1,93,92,44,1
"Obrero (050)",657,3,241,211,163,39
"Trabajador independiente (051)",1976,2,438,696,593,247
"Empleador o patrono (052)",16,,8,5,2,1
"Trabajador familiar no remunerado (053)",1102,78,320,330,262,112
"Trabajador del hogar (054)",84,1,25,29,18,11
"Hombres (056)",3186,52,842,1074,882,336
"Empleado (057)",161,,62,61,37,1
"Obrero (058)",587,3,209,192,147,36
"Trabajador independiente (059)",1689,2,358,608,511,210
"Empleador o patrono (060)",7,,4,2,,1
"Trabajador familiar no remunerado (061)",736,47,208,210,186,85
"Trabajador del hogar (062)",6,,1,1,1,3
"Mujeres (064)",880,33,283,289,200,75
"Empleado (065)",70,1,31,31,7,
"Obrero (066)",70,,32,19,16,3
"Trabajador independiente (067)",287,,80,88,82,37
"Empleador o patrono (068)",9,,4,3,2,
"Trabajador familiar no remunerado (069)",366,31,112,120,76,27
"Trabajador del hogar (070)",78,1,24,28,17,8
