"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CORONGO (000)",2510,23,676,865,701,245
"Empleado (001)",445,,96,241,103,5
"Obrero (002)",470,2,187,145,118,18
"Trabajador independiente (003)",1177,2,214,385,402,174
"Empleador o patrono (004)",23,,2,9,7,5
"Trabajador familiar no remunerado (005)",353,18,159,73,61,42
"Trabajador del hogar (006)",42,1,18,12,10,1
"Hombres (008)",1998,14,546,669,564,205
"Empleado (009)",276,,52,150,70,4
"Obrero (010)",441,1,176,138,112,14
"Trabajador independiente (011)",975,2,175,320,331,147
"Empleador o patrono (012)",21,,2,8,6,5
"Trabajador familiar no remunerado (013)",282,11,140,52,44,35
"Trabajador del hogar (014)",3,,1,1,1,
"Mujeres (016)",512,9,130,196,137,40
"Empleado (017)",169,,44,91,33,1
"Obrero (018)",29,1,11,7,6,4
"Trabajador independiente (019)",202,,39,65,71,27
"Empleador o patrono (020)",2,,,1,1,
"Trabajador familiar no remunerado (021)",71,7,19,21,17,7
"Trabajador del hogar (022)",39,1,17,11,9,1
,,,,,,
"URBANA (024)",1389,11,328,501,408,141
"Empleado (025)",338,,64,180,89,5
"Obrero (026)",285,1,104,94,74,12
"Trabajador independiente (027)",584,2,94,181,208,99
"Empleador o patrono (028)",15,,2,8,2,3
"Trabajador familiar no remunerado (029)",134,7,50,28,27,22
"Trabajador del hogar (030)",33,1,14,10,8,
"Hombres (032)",1036,7,246,365,304,114
"Empleado (033)",217,,38,116,59,4
"Obrero (034)",263,1,95,88,69,10
"Trabajador independiente (035)",444,2,69,135,158,80
"Empleador o patrono (036)",13,,2,7,1,3
"Trabajador familiar no remunerado (037)",96,4,41,18,16,17
"Trabajador del hogar (038)",3,,1,1,1,
"Mujeres (040)",353,4,82,136,104,27
"Empleado (041)",121,,26,64,30,1
"Obrero (042)",22,,9,6,5,2
"Trabajador independiente (043)",140,,25,46,50,19
"Empleador o patrono (044)",2,,,1,1,
"Trabajador familiar no remunerado (045)",38,3,9,10,11,5
"Trabajador del hogar (046)",30,1,13,9,7,
,,,,,,
"RURAL (048)",1121,12,348,364,293,104
"Empleado (049)",107,,32,61,14,
"Obrero (050)",185,1,83,51,44,6
"Trabajador independiente (051)",593,,120,204,194,75
"Empleador o patrono (052)",8,,,1,5,2
"Trabajador familiar no remunerado (053)",219,11,109,45,34,20
"Trabajador del hogar (054)",9,,4,2,2,1
"Hombres (056)",962,7,300,304,260,91
"Empleado (057)",59,,14,34,11,
"Obrero (058)",178,,81,50,43,4
"Trabajador independiente (059)",531,,106,185,173,67
"Empleador o patrono (060)",8,,,1,5,2
"Trabajador familiar no remunerado (061)",186,7,99,34,28,18
"Mujeres (064)",159,5,48,60,33,13
"Empleado (065)",48,,18,27,3,
"Obrero (066)",7,1,2,1,1,2
"Trabajador independiente (067)",62,,14,19,21,8
"Trabajador familiar no remunerado (069)",33,4,10,11,6,2
"Trabajador del hogar (070)",9,,4,2,2,1
