"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CHUPACA (000)",39402,1330,4467,1025,32617
"Conviviente (001)",7566,193,561,149,6668
"Separado(a) (002)",1333,23,84,18,1209
"Casado(a) (003)",12758,206,2381,486,9706
"Viudo(a) (004)",2106,25,229,46,1807
"Divorciado(a) (005)",146,4,18,3,121
"Soltero(a) (006)",15493,879,1194,323,13106
"Hombres (008)",18750,586,2254,608,15325
"Conviviente (009)",3718,53,302,106,3260
"Separado(a) (010)",307,4,31,11,261
"Casado(a) (011)",6106,76,1246,298,4500
"Viudo(a) (012)",516,3,85,12,417
"Divorciado(a) (013)",54,2,7,2,43
"Soltero(a) (014)",8049,448,583,179,6844
"Mujeres (016)",20652,744,2213,417,17292
"Conviviente (017)",3848,140,259,43,3408
"Separado(a) (018)",1026,19,53,7,948
"Casado(a) (019)",6652,130,1135,188,5206
"Viudo(a) (020)",1590,22,144,34,1390
"Divorciado(a) (021)",92,2,11,1,78
"Soltero(a) (022)",7444,431,611,144,6262
,,,,,
"URBANA (024)",24164,794,3408,814,19178
"Conviviente (025)",4860,135,435,124,4170
"Separado(a) (026)",844,22,64,17,742
"Casado(a) (027)",7736,137,1805,373,5437
"Viudo(a) (028)",1216,19,176,36,986
"Divorciado(a) (029)",106,3,15,3,85
"Soltero(a) (030)",9402,478,913,261,7758
"Hombres (032)",11607,343,1695,486,9099
"Conviviente (033)",2424,41,228,89,2068
"Separado(a) (034)",213,3,24,10,176
"Casado(a) (035)",3706,54,930,230,2501
"Viudo(a) (036)",294,2,61,12,220
"Divorciado(a) (037)",44,2,5,2,35
"Soltero(a) (038)",4926,241,447,143,4099
"Mujeres (040)",12557,451,1713,328,10079
"Conviviente (041)",2436,94,207,35,2102
"Separado(a) (042)",631,19,40,7,566
"Casado(a) (043)",4030,83,875,143,2936
"Viudo(a) (044)",922,17,115,24,766
"Divorciado(a) (045)",62,1,10,1,50
"Soltero(a) (046)",4476,237,466,118,3659
,,,,,
"RURAL (048)",15238,536,1059,211,13439
"Conviviente (049)",2706,58,126,25,2498
"Separado(a) (050)",489,1,20,1,467
"Casado(a) (051)",5022,69,576,113,4269
"Viudo(a) (052)",890,6,53,10,821
"Divorciado(a) (053)",40,1,3,,36
"Soltero(a) (054)",6091,401,281,62,5348
"Hombres (056)",7143,243,559,122,6226
"Conviviente (057)",1294,12,74,17,1192
"Separado(a) (058)",94,1,7,1,85
"Casado(a) (059)",2400,22,316,68,1999
"Viudo(a) (060)",222,1,24,,197
"Divorciado(a) (061)",10,,2,,8
"Soltero(a) (062)",3123,207,136,36,2745
"Mujeres (064)",8095,293,500,89,7213
"Conviviente (065)",1412,46,52,8,1306
"Separado(a) (066)",395,,13,,382
"Casado(a) (067)",2622,47,260,45,2270
"Viudo(a) (068)",668,5,29,10,624
"Divorciado(a) (069)",30,1,1,,28
"Soltero(a) (070)",2968,194,145,26,2603
