"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",18201,5280,5022,3308,3018,1573
"Hombres (001)",8772,2668,2455,1564,1388,697
"Mujeres (002)",9429,2612,2567,1744,1630,876
"PEA (003)",5459,57,1767,1828,1391,416
"Hombres (004)",4045,40,1286,1322,1064,333
"Mujeres (005)",1414,17,481,506,327,83
"Ocupada (006)",5092,53,1599,1722,1327,391
"Hombres (007)",3727,37,1153,1226,1001,310
"Mujeres (008)",1365,16,446,496,326,81
"Desocupada (009)",367,4,168,106,64,25
"Hombres (010)",318,3,133,96,63,23
"Mujeres (011)",49,1,35,10,1,2
"No PEA (012)",12742,5223,3255,1480,1627,1157
"Hombres (013)",4727,2628,1169,242,324,364
"Mujeres (014)",8015,2595,2086,1238,1303,793
,,,,,,
"URBANA (018)",2944,707,876,671,485,205
"Hombres (019)",1435,351,415,318,253,98
"Mujeres (020)",1509,356,461,353,232,107
"PEA (021)",1361,23,448,511,308,71
"Hombres (022)",839,14,265,294,217,49
"Mujeres (023)",522,9,183,217,91,22
"Ocupada (024)",1303,22,419,493,303,66
"Hombres (025)",796,13,247,279,212,45
"Mujeres (026)",507,9,172,214,91,21
"Desocupada (027)",58,1,29,18,5,5
"Hombres (028)",43,1,18,15,5,4
"Mujeres (029)",15,,11,3,,1
"No PEA (030)",1583,684,428,160,177,134
"Hombres (031)",596,337,150,24,36,49
"Mujeres (032)",987,347,278,136,141,85
,,,,,,
"RURAL (036)",15257,4573,4146,2637,2533,1368
"Hombres (037)",7337,2317,2040,1246,1135,599
"Mujeres (038)",7920,2256,2106,1391,1398,769
"PEA (039)",4098,34,1319,1317,1083,345
"Hombres (040)",3206,26,1021,1028,847,284
"Mujeres (041)",892,8,298,289,236,61
"Ocupada (042)",3789,31,1180,1229,1024,325
"Hombres (043)",2931,24,906,947,789,265
"Mujeres (044)",858,7,274,282,235,60
"Desocupada (045)",309,3,139,88,59,20
"Hombres (046)",275,2,115,81,58,19
"Mujeres (047)",34,1,24,7,1,1
"No PEA (048)",11159,4539,2827,1320,1450,1023
"Hombres (049)",4131,2291,1019,218,288,315
"Mujeres (050)",7028,2248,1808,1102,1162,708
