"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia CHANCHAMAYO",,,,,,,,
"Hogares (001)",43091,28918,19398,6381,945,6785,2183,9185
"Ocupantes presentes (002)",166385,115113,81109,26282,3762,28194,8596,30749
"Casa independiente",,,,,,,,
"Hogares (004)",33120,22868,16702,5534,831,6042,1821,6018
"Ocupantes presentes (005)",130139,92203,70784,23160,3363,25459,7378,20159
"Departamento en edificio",,,,,,,,
"Hogares (007)",623,439,521,252,66,261,176,54
"Ocupantes presentes (008)",1863,1361,1607,805,233,850,572,125
"Vivienda en quinta",,,,,,,,
"Hogares (010)",1059,701,729,252,29,225,106,147
"Ocupantes presentes (011)",3729,2544,2622,910,92,842,373,441
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",1089,692,701,205,14,164,63,172
"Ocupantes presentes (014)",4124,2730,2782,818,59,670,227,530
"Choza o cabaña",,,,,,,,
"Hogares (016)",6676,3983,561,95,1,44,6,2573
"Ocupantes presentes (017)",24752,15357,2598,426,5,196,10,8891
"Vivienda improvisada",,,,,,,,
"Hogares (019)",385,160,117,20,2,21,3,180
"Ocupantes presentes (020)",1321,633,482,79,6,94,14,505
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",105,71,66,23,2,28,8,12
"Ocupantes presentes (023)",374,270,229,84,4,83,22,35
"Otro tipo",,,,,,,,
"Hogares (025)",34,4,1,,,,,29
"Ocupantes presentes (026)",83,15,5,,,,,63
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",23754,16142,15497,5481,891,5940,2082,3550
"Ocupantes presentes (029)",94150,65700,64180,22540,3558,24764,8210,11840
"Casa independiente",,,,,,,,
"Hogares (031)",20482,14084,13364,4730,778,5241,1726,2967
"Ocupantes presentes (032)",82738,58185,56465,19850,3164,22225,7002,10167
"Departamento en edificio",,,,,,,,
"Hogares (034)",623,439,521,252,66,261,176,54
"Ocupantes presentes (035)",1863,1361,1607,805,233,850,572,125
"Vivienda en quinta",,,,,,,,
"Hogares (037)",1059,701,729,252,29,225,106,147
"Ocupantes presentes (038)",3729,2544,2622,910,92,842,373,441
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",1089,692,701,205,14,164,63,172
"Ocupantes presentes (041)",4124,2730,2782,818,59,670,227,530
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",385,160,117,20,2,21,3,180
"Ocupantes presentes (047)",1321,633,482,79,6,94,14,505
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",89,64,64,22,2,28,8,6
"Ocupantes presentes (050)",311,242,217,78,4,83,22,18
"Otro tipo",,,,,,,,
"Hogares (052)",27,2,1,,,,,24
"Ocupantes presentes (053)",64,5,5,,,,,54
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",19337,12776,3901,900,54,845,101,5635
"Ocupantes presentes (056)",72235,49413,16929,3742,204,3430,386,18909
"Casa independiente",,,,,,,,
"Hogares (058)",12638,8784,3338,804,53,801,95,3051
"Ocupantes presentes (059)",47401,34018,14319,3310,199,3234,376,9992
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",6676,3983,561,95,1,44,6,2573
"Ocupantes presentes (071)",24752,15357,2598,426,5,196,10,8891
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",16,7,2,1,,,,6
"Ocupantes presentes (077)",63,28,12,6,,,,17
"Otro tipo",,,,,,,,
"Hogares (079)",7,2,,,,,,5
"Ocupantes presentes (080)",19,10,,,,,,9
