"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia HUAYTARA (000)",9670,1591,3211,2309,2559
"Asiste actualmente (001)",6369,692,2946,2032,699
"No asiste (002)",3301,899,265,277,1860
"Hombres (004)",4976,824,1625,1217,1310
"Asiste actualmente (005)",3341,345,1501,1088,407
"No asiste (006)",1635,479,124,129,903
"Mujeres (008)",4694,767,1586,1092,1249
"Asiste actualmente (009)",3028,347,1445,944,292
"No asiste (010)",1666,420,141,148,957
,,,,,
"URBANA (012)",2959,420,902,772,865
"Asiste actualmente (013)",2119,227,855,720,317
"No asiste (014)",840,193,47,52,548
"Hombres (016)",1542,229,448,419,446
"Asiste actualmente (017)",1104,118,422,392,172
"No asiste (018)",438,111,26,27,274
"Mujeres (020)",1417,191,454,353,419
"Asiste actualmente (021)",1015,109,433,328,145
"No asiste (022)",402,82,21,25,274
,,,,,
"RURAL (024)",6711,1171,2309,1537,1694
"Asiste actualmente (025)",4250,465,2091,1312,382
"No asiste (026)",2461,706,218,225,1312
"Hombres (028)",3434,595,1177,798,864
"Asiste actualmente (029)",2237,227,1079,696,235
"No asiste (030)",1197,368,98,102,629
"Mujeres (032)",3277,576,1132,739,830
"Asiste actualmente (033)",2013,238,1012,616,147
"No asiste (034)",1264,338,120,123,683
