"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia VICTOR FAJARDO (000)",7409,118,3222,2186,709,220,130,67,5,,752
"Sin Nivel (001)",2857,56,1194,812,296,100,74,51,3,,271
"Educación Inicial (002)",15,1,6,3,2,1,,,,,2
"Primaria (003)",2944,47,1471,824,217,59,42,12,2,,270
"Secundaria (004)",1112,8,467,399,87,28,8,3,,,112
"Sup. no Univ. Incompleta (005)",103,2,20,36,16,4,1,,,,24
"Sup. no Univ. Completa (006)",235,2,42,75,65,14,2,1,,,34
"Sup. Univ. Incompleta (007)",25,,4,10,2,2,,,,,7
"Sup. Univ. Completa (008)",118,2,18,27,24,12,3,,,,32
,,,,,,,,,,,
"URBANA (010)",5436,81,2273,1591,520,181,104,55,4,,627
"Sin Nivel (011)",1895,38,744,520,192,76,57,39,2,,227
"Educación Inicial (012)",12,1,4,2,2,1,,,,,2
"Primaria (013)",2163,29,1055,612,155,49,35,12,2,,214
"Secundaria (014)",934,8,391,326,77,27,7,3,,,95
"Sup. no Univ. Incompleta (015)",93,1,19,31,14,4,1,,,,23
"Sup. no Univ. Completa (016)",214,2,39,70,59,12,1,1,,,30
"Sup. Univ. Incompleta (017)",23,,4,8,2,2,,,,,7
"Sup. Univ. Completa (018)",102,2,17,22,19,10,3,,,,29
,,,,,,,,,,,
"RURAL (020)",1973,37,949,595,189,39,26,12,1,,125
"Sin Nivel (021)",962,18,450,292,104,24,17,12,1,,44
"Educación Inicial (022)",3,,2,1,,,,,,,
"Primaria (023)",781,18,416,212,62,10,7,,,,56
"Secundaria (024)",178,,76,73,10,1,1,,,,17
"Sup. no Univ. Incompleta (025)",10,1,1,5,2,,,,,,1
"Sup. no Univ. Completa (026)",21,,3,5,6,2,1,,,,4
"Sup. Univ. Incompleta (027)",2,,,2,,,,,,,
"Sup. Univ. Completa (028)",16,,1,5,5,2,,,,,3
