"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SAN MARTIN (000)",61011,58660,18017,9351,9566,7279,7260,3593,1975,1619,2351,140297
"De 12 a 14 años (001)",5375,5343,5301,34,8,,,,,,32,50
"De 15 a 19 años (002)",9170,8957,7554,1157,195,43,8,,,,213,1708
"De 20 a 24 años (003)",7753,6875,2905,2490,1116,288,69,7,,,878,5920
"De 25 a 29 años (004)",6538,5906,1057,2073,1639,747,354,30,6,,632,9314
"De 30 a 34 años (005)",5987,5736,458,1368,1881,1107,777,125,19,1,251,12734
"De 35 a 39 años (006)",5843,5710,228,812,1671,1454,1124,314,90,17,133,16314
"De 40 a 44 años (007)",5088,5026,175,520,1256,1221,1208,437,172,37,62,16606
"De 45 a 49 años (008)",3989,3946,121,317,781,950,1008,473,199,97,43,14903
"De 50 y más años (009)",11268,11161,218,580,1019,1469,2712,2207,1489,1467,107,62748
"PEA (010)",23338,22080,5020,4287,4491,3297,2832,1159,582,412,1258,52510
"De 12 a 14 años (011)",400,397,390,5,2,,,,,,3,9
"De 15 a 19 años (012)",2183,2138,1788,286,44,17,3,,,,45,437
"De 20 a 24 años (013)",3140,2682,1401,882,297,78,22,2,,,458,1813
"De 25 a 29 años (014)",3058,2641,720,991,572,242,100,13,3,,417,3385
"De 30 a 34 años (015)",3028,2857,319,827,920,446,299,38,8,,171,5595
"De 35 a 39 años (016)",3014,2939,137,518,969,703,460,113,34,5,75,7603
"De 40 a 44 años (017)",2791,2755,108,350,762,667,587,196,76,9,36,8419
"De 45 a 49 años (018)",2122,2104,75,195,473,567,492,177,91,34,18,7266
"De 50 y más años (019)",3602,3567,82,233,452,577,869,620,370,364,35,17983
"Ocupada (020)",22679,21474,4769,4151,4407,3233,2792,1144,571,407,1205,51601
