"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CORONGO (000)",7358,1149,632,121,5466
"Hombres (001)",3756,593,333,75,2763
"Mujeres (002)",3602,556,299,46,2703
"PEA (003)",2582,90,326,58,2110
"Hombres (004)",2059,68,198,47,1748
"Mujeres (005)",523,22,128,11,362
"Ocupada (006)",2510,88,325,57,2042
"Hombres (007)",1998,66,197,46,1691
"Mujeres (008)",512,22,128,11,351
"Desocupada (009)",72,2,1,1,68
"Hombres (010)",61,2,1,1,57
"Mujeres (011)",11,,,,11
"No PEA (012)",4776,1059,306,63,3356
"Hombres (013)",1697,525,135,28,1015
"Mujeres (014)",3079,534,171,35,2341
,,,,,
"URBANA (018)",3694,538,514,94,2557
"Hombres (019)",1892,279,271,57,1292
"Mujeres (020)",1802,259,243,37,1265
"PEA (021)",1429,66,268,44,1053
"Hombres (022)",1069,50,162,36,823
"Mujeres (023)",360,16,106,8,230
"Ocupada (024)",1389,65,267,43,1016
"Hombres (025)",1036,49,161,35,793
"Mujeres (026)",353,16,106,8,223
"Desocupada (027)",40,1,1,1,37
"Hombres (028)",33,1,1,1,30
"Mujeres (029)",7,,,,7
"No PEA (030)",2265,472,246,50,1504
"Hombres (031)",823,229,109,21,469
"Mujeres (032)",1442,243,137,29,1035
,,,,,
"RURAL (036)",3664,611,118,27,2909
"Hombres (037)",1864,314,62,18,1471
"Mujeres (038)",1800,297,56,9,1438
"PEA (039)",1153,24,58,14,1057
"Hombres (040)",990,18,36,11,925
"Mujeres (041)",163,6,22,3,132
"Ocupada (042)",1121,23,58,14,1026
"Hombres (043)",962,17,36,11,898
"Mujeres (044)",159,6,22,3,128
"Desocupada (045)",32,1,,,31
"Hombres (046)",28,1,,,27
"Mujeres (047)",4,,,,4
"No PEA (048)",2511,587,60,13,1852
"Hombres (049)",874,296,26,7,546
"Mujeres (050)",1637,291,34,6,1306
