"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia CHUMBIVILCAS",,,,,,,,,
"Hogares (001)",19536,347,196,163,126,85,69,66,18484
"Ocupantes presentes (002)",75104,956,632,534,462,380,330,399,71411
"Casa independiente",,,,,,,,,
"Hogares (004)",17061,332,186,156,123,83,63,62,16056
"Ocupantes presentes (005)",65685,911,598,509,454,371,304,386,62152
"Departamento en edificio",,,,,,,,,
"Hogares (007)",7,1,,1,,,,,5
"Ocupantes presentes (008)",28,5,,7,,,,,16
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",24,1,2,,,,,,21
"Ocupantes presentes (011)",73,2,11,,,,,,60
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",233,7,1,3,2,1,3,2,214
"Ocupantes presentes (014)",671,16,2,9,4,4,11,5,620
"Choza o cabaña",,,,,,,,,
"Hogares (016)",2185,5,7,2,1,1,3,2,2164
"Ocupantes presentes (017)",8576,14,21,6,4,5,15,8,8503
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",4,,,,,,,,4
"Ocupantes presentes (020)",9,,,,,,,,9
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",20,1,,1,,,,,18
"Ocupantes presentes (023)",58,8,,3,,,,,47
"Otro tipo",,,,,,,,,
"Hogares (025)",2,,,,,,,,2
"Ocupantes presentes (026)",4,,,,,,,,4
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",4742,166,76,70,51,37,25,28,4289
"Ocupantes presentes (029)",17041,443,207,236,174,160,123,150,15548
"Casa independiente",,,,,,,,,
"Hogares (031)",4462,156,73,65,49,36,22,26,4035
"Ocupantes presentes (032)",16211,412,194,217,170,156,112,145,14805
"Departamento en edificio",,,,,,,,,
"Hogares (034)",7,1,,1,,,,,5
"Ocupantes presentes (035)",28,5,,7,,,,,16
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",24,1,2,,,,,,21
"Ocupantes presentes (038)",73,2,11,,,,,,60
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",233,7,1,3,2,1,3,2,214
"Ocupantes presentes (041)",671,16,2,9,4,4,11,5,620
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",4,,,,,,,,4
"Ocupantes presentes (047)",9,,,,,,,,9
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",12,1,,1,,,,,10
"Ocupantes presentes (050)",49,8,,3,,,,,38
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",14794,181,120,93,75,48,44,38,14195
"Ocupantes presentes (056)",58063,513,425,298,288,220,207,249,55863
"Casa independiente",,,,,,,,,
"Hogares (058)",12599,176,113,91,74,47,41,36,12021
"Ocupantes presentes (059)",49474,499,404,292,284,215,192,241,47347
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",2185,5,7,2,1,1,3,2,2164
"Ocupantes presentes (071)",8576,14,21,6,4,5,15,8,8503
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",8,,,,,,,,8
"Ocupantes presentes (077)",9,,,,,,,,9
"Otro tipo",,,,,,,,,
"Hogares (079)",2,,,,,,,,2
"Ocupantes presentes (080)",4,,,,,,,,4
