"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CHINCHEROS (000)",11817,1787,2852,5507,90,1437,144
"Conviviente (001)",2701,534,637,1256,19,230,25
"Separado(a) (002)",300,58,49,158,3,21,11
"Casado(a) (003)",6126,740,1405,3302,43,595,41
"Viudo(a) (004)",397,20,75,248,4,43,7
"Divorciado(a) (005)",51,10,10,27,1,2,1
"Soltero(a) (006)",2242,425,676,516,20,546,59
"Hombres (008)",9346,1065,2664,4492,71,1046,8
"Conviviente (009)",2126,317,596,1045,16,152,
"Separado(a) (010)",133,19,35,71,1,7,
"Casado(a) (011)",5079,495,1332,2825,39,387,1
"Viudo(a) (012)",235,6,60,143,3,23,
"Divorciado(a) (013)",31,6,9,14,,2,
"Soltero(a) (014)",1742,222,632,394,12,475,7
"Mujeres (016)",2471,722,188,1015,19,391,136
"Conviviente (017)",575,217,41,211,3,78,25
"Separado(a) (018)",167,39,14,87,2,14,11
"Casado(a) (019)",1047,245,73,477,4,208,40
"Viudo(a) (020)",162,14,15,105,1,20,7
"Divorciado(a) (021)",20,4,1,13,1,,1
"Soltero(a) (022)",500,203,44,122,8,71,52
,,,,,,,
"URBANA (024)",4780,1388,770,2053,57,427,85
"Conviviente (025)",1189,417,187,488,13,68,16
"Separado(a) (026)",142,36,16,75,3,8,4
"Casado(a) (027)",2345,594,357,1174,24,170,26
"Viudo(a) (028)",140,16,17,91,2,11,3
"Divorciado(a) (029)",23,8,3,10,1,,1
"Soltero(a) (030)",941,317,190,215,14,170,35
"Hombres (032)",3250,821,694,1419,40,271,5
"Conviviente (033)",800,244,165,347,10,34,
"Separado(a) (034)",49,13,10,23,1,2,
"Casado(a) (035)",1678,388,326,849,21,93,1
"Viudo(a) (036)",63,4,12,40,1,6,
"Divorciado(a) (037)",12,6,3,3,,,
"Soltero(a) (038)",648,166,178,157,7,136,4
"Mujeres (040)",1530,567,76,634,17,156,80
"Conviviente (041)",389,173,22,141,3,34,16
"Separado(a) (042)",93,23,6,52,2,6,4
"Casado(a) (043)",667,206,31,325,3,77,25
"Viudo(a) (044)",77,12,5,51,1,5,3
"Divorciado(a) (045)",11,2,,7,1,,1
"Soltero(a) (046)",293,151,12,58,7,34,31
,,,,,,,
"RURAL (048)",7037,399,2082,3454,33,1010,59
"Conviviente (049)",1512,117,450,768,6,162,9
"Separado(a) (050)",158,22,33,83,,13,7
"Casado(a) (051)",3781,146,1048,2128,19,425,15
"Viudo(a) (052)",257,4,58,157,2,32,4
"Divorciado(a) (053)",28,2,7,17,,2,
"Soltero(a) (054)",1301,108,486,301,6,376,24
"Hombres (056)",6096,244,1970,3073,31,775,3
"Conviviente (057)",1326,73,431,698,6,118,
"Separado(a) (058)",84,6,25,48,,5,
"Casado(a) (059)",3401,107,1006,1976,18,294,
"Viudo(a) (060)",172,2,48,103,2,17,
"Divorciado(a) (061)",19,,6,11,,2,
"Soltero(a) (062)",1094,56,454,237,5,339,3
"Mujeres (064)",941,155,112,381,2,235,56
"Conviviente (065)",186,44,19,70,,44,9
"Separado(a) (066)",74,16,8,35,,8,7
"Casado(a) (067)",380,39,42,152,1,131,15
"Viudo(a) (068)",85,2,10,54,,15,4
"Divorciado(a) (069)",9,2,1,6,,,
"Soltero(a) (070)",207,52,32,64,1,37,21
