"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia PUNO",,,,,,,,,
"Hogares (001)",67603,1556,582,323,252,161,136,99,64494
"Ocupantes presentes (002)",225215,4533,1614,989,906,704,583,492,215394
"Casa independiente",,,,,,,,,
"Hogares (004)",60852,1410,530,292,229,153,129,92,58017
"Ocupantes presentes (005)",205065,4119,1493,895,830,673,554,474,196027
"Departamento en edificio",,,,,,,,,
"Hogares (007)",1104,45,14,11,7,1,1,2,1023
"Ocupantes presentes (008)",3349,138,33,30,22,5,3,5,3113
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",327,10,7,1,1,1,,,307
"Ocupantes presentes (011)",1028,36,14,3,6,4,,,965
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",1354,42,17,7,2,3,1,3,1279
"Ocupantes presentes (014)",3952,121,45,21,5,10,6,11,3733
"Choza o cabaña",,,,,,,,,
"Hogares (016)",3906,47,14,10,12,3,5,2,3813
"Ocupantes presentes (017)",11663,109,29,34,40,12,20,2,11417
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",17,1,,,,,,,16
"Ocupantes presentes (020)",55,9,,,,,,,46
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",33,,,2,1,,,,30
"Ocupantes presentes (023)",77,,,6,3,,,,68
"Otro tipo",,,,,,,,,
"Hogares (025)",10,1,,,,,,,9
"Ocupantes presentes (026)",26,1,,,,,,,25
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",38031,1218,453,266,209,138,102,83,35562
"Ocupantes presentes (029)",133064,3686,1301,810,753,588,435,402,125089
"Casa independiente",,,,,,,,,
"Hogares (031)",35193,1120,415,246,198,133,100,78,32903
"Ocupantes presentes (032)",124595,3382,1209,753,717,569,426,386,117153
"Departamento en edificio",,,,,,,,,
"Hogares (034)",1104,45,14,11,7,1,1,2,1023
"Ocupantes presentes (035)",3349,138,33,30,22,5,3,5,3113
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",327,10,7,1,1,1,,,307
"Ocupantes presentes (038)",1028,36,14,3,6,4,,,965
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",1354,42,17,7,2,3,1,3,1279
"Ocupantes presentes (041)",3952,121,45,21,5,10,6,11,3733
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",17,1,,,,,,,16
"Ocupantes presentes (047)",55,9,,,,,,,46
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",29,,,1,1,,,,27
"Ocupantes presentes (050)",68,,,3,3,,,,62
"Otro tipo",,,,,,,,,
"Hogares (052)",7,,,,,,,,7
"Ocupantes presentes (053)",17,,,,,,,,17
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",29572,338,129,57,43,23,34,16,28932
"Ocupantes presentes (056)",92151,847,313,179,153,116,148,90,90305
"Casa independiente",,,,,,,,,
"Hogares (058)",25659,290,115,46,31,20,29,14,25114
"Ocupantes presentes (059)",80470,737,284,142,113,104,128,88,78874
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",3906,47,14,10,12,3,5,2,3813
"Ocupantes presentes (071)",11663,109,29,34,40,12,20,2,11417
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",4,,,1,,,,,3
"Ocupantes presentes (077)",9,,,3,,,,,6
"Otro tipo",,,,,,,,,
"Hogares (079)",3,1,,,,,,,2
"Ocupantes presentes (080)",9,1,,,,,,,8
