"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia YAROWILCA (000)",21397,4432,3749,3576,3216,2410,4014
"Conviviente (001)",5637,89,1098,2092,1404,535,419
"Separado(a) (002)",601,3,119,165,122,93,99
"Casado(a) (003)",6067,8,106,668,1381,1516,2388
"Viudo(a) (004)",1252,,10,25,84,157,976
"Divorciado(a) (005)",81,,10,14,18,17,22
"Soltero(a) (006)",7759,4332,2406,612,207,92,110
"Hombres (008)",10082,2172,1817,1633,1479,1087,1894
"Conviviente (009)",2658,30,403,994,719,281,231
"Separado(a) (010)",117,,5,23,27,25,37
"Casado(a) (011)",2935,3,34,271,612,705,1310
"Viudo(a) (012)",315,,3,8,17,30,257
"Divorciado(a) (013)",21,,2,2,4,5,8
"Soltero(a) (014)",4036,2139,1370,335,100,41,51
"Mujeres (016)",11315,2260,1932,1943,1737,1323,2120
"Conviviente (017)",2979,59,695,1098,685,254,188
"Separado(a) (018)",484,3,114,142,95,68,62
"Casado(a) (019)",3132,5,72,397,769,811,1078
"Viudo(a) (020)",937,,7,17,67,127,719
"Divorciado(a) (021)",60,,8,12,14,12,14
"Soltero(a) (022)",3723,2193,1036,277,107,51,59
,,,,,,,
"URBANA (024)",5405,1029,997,1037,904,596,842
"Conviviente (025)",1448,29,270,557,383,135,74
"Separado(a) (026)",168,,26,50,40,29,23
"Casado(a) (027)",1490,4,32,217,361,353,523
"Viudo(a) (028)",247,,2,6,27,35,177
"Divorciado(a) (029)",28,,1,1,8,9,9
"Soltero(a) (030)",2024,996,666,206,85,35,36
"Hombres (032)",2619,506,506,482,435,286,404
"Conviviente (033)",704,10,101,267,208,79,39
"Separado(a) (034)",38,,2,7,11,9,9
"Casado(a) (035)",750,2,10,96,172,174,296
"Viudo(a) (036)",56,,1,1,5,8,41
"Divorciado(a) (037)",10,,,,3,3,4
"Soltero(a) (038)",1061,494,392,111,36,13,15
"Mujeres (040)",2786,523,491,555,469,310,438
"Conviviente (041)",744,19,169,290,175,56,35
"Separado(a) (042)",130,,24,43,29,20,14
"Casado(a) (043)",740,2,22,121,189,179,227
"Viudo(a) (044)",191,,1,5,22,27,136
"Divorciado(a) (045)",18,,1,1,5,6,5
"Soltero(a) (046)",963,502,274,95,49,22,21
,,,,,,,
"RURAL (048)",15992,3403,2752,2539,2312,1814,3172
"Conviviente (049)",4189,60,828,1535,1021,400,345
"Separado(a) (050)",433,3,93,115,82,64,76
"Casado(a) (051)",4577,4,74,451,1020,1163,1865
"Viudo(a) (052)",1005,,8,19,57,122,799
"Divorciado(a) (053)",53,,9,13,10,8,13
"Soltero(a) (054)",5735,3336,1740,406,122,57,74
"Hombres (056)",7463,1666,1311,1151,1044,801,1490
"Conviviente (057)",1954,20,302,727,511,202,192
"Separado(a) (058)",79,,3,16,16,16,28
"Casado(a) (059)",2185,1,24,175,440,531,1014
"Viudo(a) (060)",259,,2,7,12,22,216
"Divorciado(a) (061)",11,,2,2,1,2,4
"Soltero(a) (062)",2975,1645,978,224,64,28,36
"Mujeres (064)",8529,1737,1441,1388,1268,1013,1682
"Conviviente (065)",2235,40,526,808,510,198,153
"Separado(a) (066)",354,3,90,99,66,48,48
"Casado(a) (067)",2392,3,50,276,580,632,851
"Viudo(a) (068)",746,,6,12,45,100,583
"Divorciado(a) (069)",42,,7,11,9,6,9
"Soltero(a) (070)",2760,1691,762,182,58,29,38
