"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CAÑETE (000)",2314,1619,695
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",345,345,
"Casa pensión (003)",59,24,35
"Hospital, clinica (004)",128,128,
"Cárcel, centro de readaptación social (005)",30,,30
"Aldea infantil, orfelinato, etc (007)",109,109,
"Otro (008)",1021,391,630
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",622,622,
