"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia HUAURA (000)",55566,51677,46882,3214,1581,3889,289,708,2679,213
"Casa independiente (001)",50365,46950,42731,2763,1456,3415,197,694,2337,187
"Departamento en edificio (002)",1283,1236,1102,125,9,47,36,3,7,1
"Vivienda en quinta (003)",1231,1122,1038,72,12,109,24,8,72,5
"Vivienda en casa de vecindad (004)",908,815,750,64,1,93,32,3,51,7
"Choza o cabaña (005)",748,649,494,71,84,99,,,94,5
"Vivienda improvisada (006)",939,813,675,119,19,126,,,118,8
"Local no dest.para hab. humana (007)",88,88,88,,,,,,,
"Otro tipo (008)",4,4,4,,,,,,,
,,,,,,,,,,
"URBANA (009)",45044,42350,39726,2125,499,2694,270,575,1700,149
"Casa independiente (010)",40603,38284,36081,1745,458,2319,178,561,1452,128
"Departamento en edificio (011)",1283,1236,1102,125,9,47,36,3,7,1
"Vivienda en quinta (012)",1231,1122,1038,72,12,109,24,8,72,5
"Vivienda en casa de vecindad (013)",908,815,750,64,1,93,32,3,51,7
"Vivienda improvisada (015)",939,813,675,119,19,126,,,118,8
"Local no dest.para hab. humana (016)",76,76,76,,,,,,,
"Otro tipo (017)",4,4,4,,,,,,,
,,,,,,,,,,
"RURAL (018)",10522,9327,7156,1089,1082,1195,19,133,979,64
"Casa independiente (019)",9762,8666,6650,1018,998,1096,19,133,885,59
"Choza o cabaña (023)",748,649,494,71,84,99,,,94,5
"Local no dest.para hab. humana (025)",12,12,12,,,,,,,
