"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PIURA (000)",175996,1232,53626,58128,24746,9262,3958,954,123,,23967
"Sin Nivel (001)",26826,321,10026,8891,2778,1030,593,210,24,,2953
"Educación Inicial (002)",167,2,60,48,14,2,1,,,,40
"Primaria (003)",50564,523,19935,16493,5103,1847,988,256,27,,5392
"Secundaria (004)",45199,261,16072,15325,5285,1795,701,155,19,,5586
"Sup. no Univ. Incompleta (005)",10254,38,2296,3954,1527,444,146,31,7,,1811
"Sup. no Univ. Completa (006)",22047,49,2768,7528,5375,2050,715,150,27,,3385
"Sup. Univ. Incompleta (007)",6394,17,1176,2179,895,314,135,15,1,,1662
"Sup. Univ. Completa (008)",14545,21,1293,3710,3769,1780,679,137,18,,3138
,,,,,,,,,,,
"URBANA (010)",153922,1018,44361,51033,22833,8690,3717,888,115,,21267
"Sin Nivel (011)",19386,229,6834,6447,2087,804,488,178,21,,2298
"Educación Inicial (012)",153,2,55,44,13,2,1,,,,36
"Primaria (013)",40339,422,15406,13193,4320,1632,893,231,23,,4219
"Secundaria (014)",41799,241,14732,14264,4986,1725,678,148,18,,5007
"Sup. no Univ. Incompleta (015)",9935,37,2209,3845,1501,438,144,30,7,,1724
"Sup. no Univ. Completa (016)",21618,49,2701,7418,5290,2020,706,149,27,,3258
"Sup. Univ. Incompleta (017)",6312,17,1151,2160,890,308,133,15,1,,1637
"Sup. Univ. Completa (018)",14380,21,1273,3662,3746,1761,674,137,18,,3088
,,,,,,,,,,,
"RURAL (020)",22074,214,9265,7095,1913,572,241,66,8,,2700
"Sin Nivel (021)",7440,92,3192,2444,691,226,105,32,3,,655
"Educación Inicial (022)",14,,5,4,1,,,,,,4
"Primaria (023)",10225,101,4529,3300,783,215,95,25,4,,1173
"Secundaria (024)",3400,20,1340,1061,299,70,23,7,1,,579
"Sup. no Univ. Incompleta (025)",319,1,87,109,26,6,2,1,,,87
"Sup. no Univ. Completa (026)",429,,67,110,85,30,9,1,,,127
"Sup. Univ. Incompleta (027)",82,,25,19,5,6,2,,,,25
"Sup. Univ. Completa (028)",165,,20,48,23,19,5,,,,50
