"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SANCHEZ CARRION (000)",37151,1218,14116,11582,7768,2467
"Agric., ganadería, caza y silvicultura (001)",22720,868,8416,6479,4991,1966
"Pesca (002)",8,,3,3,2,
"Explotación de minas y canteras (003)",775,5,461,222,78,9
"Industrias manufactureras (004)",1612,37,579,499,371,126
"Suministro de electricidad, gas y agua (005)",33,,12,10,9,2
"Construcción (006)",1473,20,538,572,313,30
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2511,68,802,887,618,136
"Venta, mant.y rep. veh.autom.y motoc. (008)",218,12,111,63,29,3
"Comercio al por mayor (009)",166,4,60,61,39,2
"Comercio al por menor (010)",2127,52,631,763,550,131
"Hoteles y restaurantes (011)",785,30,277,256,180,42
"Trans., almac. y comunicaciones (012)",963,11,482,305,160,5
"Intermediación financiera (013)",49,,35,12,2,
"Activid.inmobil., empres. y alquileres (014)",290,1,128,100,57,4
"Admin.pub. y defensa; p. segur.soc afil (015)",518,,170,224,122,2
"Enseñanza (016)",1526,,293,918,308,7
"Servicios sociales y de salud (017)",231,,62,109,58,2
"Otras activ. serv.comun.soc y personales (018)",427,26,129,177,78,17
"Hogares privados con servicio doméstico (019)",621,47,396,114,55,9
"Actividad economica no especificada (021)",874,3,348,273,181,69
"Desocupado (022)",1735,102,985,422,185,41
"Hombres (023)",29328,807,10973,9116,6326,2106
"Agric., ganadería, caza y silvicultura (024)",20386,603,7365,5995,4604,1819
"Pesca (025)",7,,3,3,1,
"Explotación de minas y canteras (026)",764,5,454,218,78,9
"Industrias manufactureras (027)",1164,21,405,365,281,92
"Suministro de electricidad, gas y agua (028)",31,,11,9,9,2
"Construcción (029)",1438,20,520,560,308,30
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1281,51,446,442,276,66
"Venta, mant.y rep. veh.autom.y motoc. (031)",207,12,104,61,27,3
"Comercio al por mayor (032)",118,4,41,43,28,2
"Comercio al por menor (033)",956,35,301,338,221,61
"Hoteles y restaurantes (034)",125,9,52,37,21,6
"Trans., almac. y comunicaciones (035)",922,10,454,293,160,5
"Intermediación financiera (036)",24,,17,5,2,
"Activid.inmobil., empres. y alquileres (037)",206,1,74,80,47,4
"Admin.pub. y defensa; p. segur.soc afil (038)",397,,117,181,97,2
"Enseñanza (039)",694,,107,413,169,5
"Servicios sociales y de salud (040)",91,,14,47,28,2
