"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia MARISCAL CACERES (000)",17155,16670,4455,2223,2533,2012,2472,1412,1563,485
"Católica (001)",11818,11459,3090,1562,1793,1432,1671,936,975,359
"Cristiana/Evangélica (002)",3459,3367,847,398,452,399,529,328,414,92
"Otra (003)",910,890,239,97,131,81,150,85,107,20
"Ninguna (004)",968,954,279,166,157,100,122,63,67,14
,,,,,,,,,,
"URBANA (006)",11587,11225,3207,1525,1748,1400,1593,870,882,362
"Católica (007)",8289,8010,2288,1108,1287,1038,1114,599,576,279
"Cristiana/Evangélica (008)",2141,2078,577,260,280,241,318,182,220,63
"Otra (009)",579,566,165,51,91,55,90,55,59,13
"Ninguna (010)",578,571,177,106,90,66,71,34,27,7
,,,,,,,,,,
"RURAL (012)",5568,5445,1248,698,785,612,879,542,681,123
"Católica (013)",3529,3449,802,454,506,394,557,337,399,80
"Cristiana/Evangélica (014)",1318,1289,270,138,172,158,211,146,194,29
"Otra (015)",331,324,74,46,40,26,60,30,48,7
"Ninguna (016)",390,383,102,60,67,34,51,29,40,7
