"CUADRO Nº 7: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PADECIMIENTO DE ALGUNA DIFICULTAD O LIMITACIÓN FÍSICA O MENTAL PERMANENTE DE ALGÚN MIEMBRO DEL HOGAR, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISCAPACIDAD FÍSICA O MENTAL",,,,,"NINGUNA PERSONA CON DISCAPACIDAD"
,,"PARA VER, AÚN USANDO LENTES","PARA OÍR, AÚN USANDO AUDÍ-FONOS PARA SORDERA","PARA HABLAR (ENTONAR / VOCALIZAR)","PARA USAR BRAZOS Y MANOS / PIERNAS Y PIES","ALGUNA OTRA DIFICULTAD O LIMITACIÓN",
,,,,,,,
"Provincia SAN PABLO",,,,,,,
"Hogares (001)",5850,151,75,76,89,105,5415
"Ocupantes presentes (002)",23092,512,268,374,380,454,21349
"Casa independiente",,,,,,,
"Hogares (004)",5734,148,73,75,87,104,5306
"Ocupantes presentes (005)",22690,502,256,372,369,449,20975
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Hogares (010)",47,2,,,1,,44
"Ocupantes presentes (011)",152,5,,,4,,143
"Vivienda en casa de vecindad",,,,,,,
"Hogares (013)",15,,,,,,15
"Ocupantes presentes (014)",38,,,,,,38
"Choza o cabaña",,,,,,,
"Hogares (016)",51,1,2,1,1,1,47
"Ocupantes presentes (017)",199,5,12,2,7,5,180
"Vivienda improvisada",,,,,,,
"Hogares (019)",1,,,,,,1
"Ocupantes presentes (020)",7,,,,,,7
"Local no dest.para hab. humana",,,,,,,
"Hogares (022)",2,,,,,,2
"Ocupantes presentes (023)",6,,,,,,6
"Otro tipo",,,,,,,
,,,,,,,
URBANA,,,,,,,
"Hogares (028)",1000,52,10,13,22,16,898
"Ocupantes presentes (029)",3572,164,37,68,88,67,3194
"Casa independiente",,,,,,,
"Hogares (031)",937,50,10,13,21,16,838
"Ocupantes presentes (032)",3375,159,37,68,84,67,3006
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Hogares (037)",47,2,,,1,,44
"Ocupantes presentes (038)",152,5,,,4,,143
"Vivienda en casa de vecindad",,,,,,,
"Hogares (040)",15,,,,,,15
"Ocupantes presentes (041)",38,,,,,,38
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Hogares (046)",1,,,,,,1
"Ocupantes presentes (047)",7,,,,,,7
"Local no dest.para hab. humana",,,,,,,
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Hogares (055)",4850,99,65,63,67,89,4517
"Ocupantes presentes (056)",19520,348,231,306,292,387,18155
"Casa independiente",,,,,,,
"Hogares (058)",4797,98,63,62,66,88,4468
"Ocupantes presentes (059)",19315,343,219,304,285,382,17969
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Hogares (070)",51,1,2,1,1,1,47
"Ocupantes presentes (071)",199,5,12,2,7,5,180
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Hogares (076)",2,,,,,,2
"Ocupantes presentes (077)",6,,,,,,6
"Otro tipo",,,,,,,
